#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4791.1318	844.4769	216.5325	4574.5993	5635.6087
logg	3.7511	1.2837	0.3070	3.4442	5.0348
[Fe/H]	-0.0990	0.3480	0.2668	-0.3658	0.2489
dist	870.2950	41.5774	26.8411	843.4539	911.8724
rad	4.5772	0.3441	0.5353	4.0419	4.9213
Av	0.9573	0.6439	0.3692	0.5882	1.6012
grav_mass	4.8234	22.4690	3.7448	1.0785	27.2924
lum	9.8893	7.8376	3.5922	6.2970	17.7269
AD	0.0483	0.0041	0.0063	0.0420	0.0524
age	12.6016	0.8871	8.3835	4.2182	13.4888
iso_mass	1.0168	0.2512	0.1024	0.9144	1.2680
eep	498.7233	2.9947	6.7381	491.9852	501.7180
PS1_g_noise	0.0119	0.0120	0.0077	0.0043	0.0240
BP_noise	0.0097	0.0812	0.0134	-0.0037	0.0908
PS1_r_noise	0.1313	1.3665	0.2277	-0.0964	1.4978
G_noise	0.0191	0.0272	0.0190	0.0001	0.0463
PS1_i_noise	0.1396	1.4127	0.2457	-0.1061	1.5523
RP_noise	0.0182	0.0550	0.0186	-0.0004	0.0732
TESS_noise	0.0326	0.1655	0.0520	-0.0194	0.1981
PS1_z_noise	0.1508	0.7728	0.2336	-0.0828	0.9236
PS1_y_noise	0.1759	0.9264	0.2797	-0.1037	1.1023
J_noise	0.1414	0.1672	0.0611	0.0803	0.3086
