#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4973.4340	432.3102	192.1379	4781.2961	5405.7442
logg	4.1486	0.5277	0.4032	3.7454	4.6763
[Fe/H]	-0.0824	0.1754	0.1435	-0.2260	0.0930
dist	875.3675	19.9187	16.0747	859.2928	895.2861
rad	4.4802	0.2276	0.3001	4.1801	4.7078
Av	1.0887	0.2361	0.2938	0.7949	1.3248
grav_mass	7.1807	16.2397	4.0599	3.1208	23.4204
lum	11.2482	4.0356	2.4947	8.7535	15.2838
AD	0.0475	0.0026	0.0033	0.0442	0.0501
age	12.6016	0.8871	8.3835	0.2704	13.488752726637802
iso_mas	1.0168	0.2512	0.1024	0.8483	1.8330889723801675
eep	498.7233	2.9947	6.7381	390.9143	504.7126720636229
PS1_g_noise	0.0136	0.0069	0.0047	0.0089	0.0205
BP_noise	0.0347	0.0372	0.0206	0.0141	0.0718
PS1_r_noise	0.6079	0.4999	0.3699	0.2380	1.1077
G_noise	0.0229	0.0149	0.0116	0.0113	0.0377
PS1_i_noise	0.6382	0.5688	0.4447	0.1936	1.2070
RP_noise	0.0305	0.0273	0.0172	0.0133	0.0578
TESS_noise	0.0711	0.1255	0.0494	0.0217	0.1966
PS1_z_noise	0.3294	0.5551	0.2164	0.1130	0.8845
PS1_y_noise	0.3705	0.7410	0.2565	0.1140	1.1115
J_noise	0.1772	0.0852	0.0500	0.1272	0.2624
