#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4689.1859	414.6222	718.6784	3970.5075	5103.8081
logg	4.6004	0.7949	0.9984	3.6020	5.3953
[Fe/H]	-0.2742	0.2350	0.2350	-0.5092	-0.0392
dist	971.1098	359.4045	214.4833	756.6265	1330.5143
rad	0.7792	0.3461	0.1818	0.5974	1.1252
Av	3.1981	0.9644	1.0789	2.1192	4.1625
grav_mass	0.4684	1.7879	0.4470	0.0214	2.2563
lum	0.2428	0.3047	0.1406	0.1022	0.5475
AD	0.0073	0.0038	0.0027	0.0046	0.0111
age	0.4072	10.8717	0.4060	0.0012	11.2788
iso_mass	0.5676	0.0847	0.1249	0.4427	0.6524
eep	318.7965	23.2947	60.5661	258.2304	342.0911
PS1_g_noise	0.1053	0.2721	0.1055	-0.0002	0.3773
BP_noise	0.0957	0.6096	0.1365	-0.0408	0.7053
PS1_r_noise	0.1545	0.8230	0.2389	-0.0844	0.9774
G_noise	0.0228	0.0410	0.0198	0.0030	0.0638
PS1_i_noise	0.2875	1.5244	0.3926	-0.1052	1.8118
RP_noise	0.1203	0.1732	0.1024	0.0180	0.2936
TESS_noise	0.2975	0.2862	0.2302	0.0674	0.5837
PS1_z_noise	0.1992	0.9607	0.2775	-0.0783	1.1600
PS1_y_noise	0.3150	1.4821	0.3825	-0.0675	1.7970
