#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4681.6087	424.4421	424.4421	4257.1666	5106.0508
logg	4.5185	0.5958	0.5552	3.9633	5.1144
[Fe/H]	-0.2530	0.1481	0.1721	-0.4251	-0.1049
dist	999.4364	224.9427	146.8376	852.5988	1224.3791
rad	0.8237	0.2254	0.1413	0.6824	1.0491
Av	3.2402	0.5565	0.8402	2.4000	3.7967
grav_mass	0.5027	1.7339	0.4080	0.0947	2.2365
lum	0.2805	0.2271	0.1165	0.1640	0.5076
AD	0.0075	0.0025	0.0020	0.0055	0.0100
age	0.4072	10.8717	0.4060	0.0012	13.444141939808242
iso_mas	0.5676	0.0847	0.1249	0.1684	0.8352518458275636
eep	318.7965	23.2947	60.5661	75.6002	354.20434757577067
PS1_g_noise	0.2066	0.1177	0.1628	0.0438	0.3242
BP_noise	0.1793	0.4139	0.1217	0.0576	0.5932
PS1_r_noise	0.2677	0.5783	0.2024	0.0653	0.8460
G_noise	0.0301	0.0204	0.0143	0.0157	0.0505
PS1_i_noise	0.4439	1.1884	0.3395	0.1044	1.6323
RP_noise	0.1303	0.1302	0.0714	0.0589	0.2606
TESS_noise	0.3089	0.2183	0.1647	0.1442	0.5271
PS1_z_noise	0.4295	0.5939	0.2691	0.1604	1.0234
PS1_y_noise	0.6092	0.9272	0.3974	0.2118	1.5363
