fname,mjd,power,f,f_err_n,f_err_p,fdot,fdot_err_n,fdot_err_p,fddot,power_cl_0.9,pulse_amp,pulse_amp_err,pulse_amp_cl_0.1,pulse_amp_cl_0.9,pulse_amp_ul_0.9,f_idx,fdot_idx,fddot_idx
0916810801_PN1_src_xmm_epn_det05_ev.p,60187.538078353726,500.09,0.0002,0.0,0.0,0.00e+00,0.0,0.0,0,447.33,84.22,2.01,79.66,89.29,nan,0,0,0
0916810801_PN1_src_xmm_epn_det05_ev.p,60187.538078353726,249.35,0.00022801659539546247,0.0,0.0,0.00e+00,0.0,0.0,0,213.40,59.47,2.11,55.02,64.64,nan,1,0,0
0916810801_PN1_src_xmm_epn_det05_ev.p,60187.538078353726,144.63,0.00039611616776823725,-2.8016595395462436e-05,2.8016595395462436e-05,0.00e+00,0.0,0.0,0,118.28,45.29,2.22,40.96,50.56,nan,7,0,0
0916810801_PN1_src_xmm_epn_det05_ev.p,60187.538078353726,138.18,0.0003680995723727748,0.0,5.603319079092487e-05,0.00e+00,0.0,0.0,0,112.52,44.27,2.23,39.95,49.55,nan,6,0,0
0916810801_PN1_src_xmm_epn_det05_ev.p,60187.538078353726,137.76,0.0004241327631636997,-5.603319079092487e-05,0.0,0.00e+00,0.0,0.0,0,112.15,44.20,2.23,39.89,49.49,nan,8,0,0
