#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5257.3929	1049.0035	309.7058	4947.6872	6306.3964
logg	3.7828	1.5912	0.3514	3.4313	5.3739
[Fe/H]	-0.1173	0.2765	0.4301	-0.5474	0.1592
dist	388.9323	123.8894	33.4305	355.5019	512.8217
rad	1.7416	0.7456	0.2364	1.5052	2.4872
Av	0.0702	0.6090	0.1088	-0.0385	0.6793
grav_mass	1.3764	7.4706	1.2451	0.1313	8.8469
lum	2.8439	2.7693	1.4221	1.4219	5.6132
AD	0.0413	0.0157	0.0112	0.0301	0.0570
age	4.2409	6.6317	4.2407	0.0002	10.8725
iso_mass	0.9705	0.2391	0.1499	0.8205	1.2096
eep	452.8478	28.5650	110.1792	342.6686	481.4128
BP_noise	0.0919	0.0341	0.0563	0.0355	0.1259
G_noise	0.0495	0.0358	0.0462	0.0033	0.0853
RP_noise	0.0455	0.0428	0.0428	0.0027	0.0883
TESS_noise	0.0588	0.0790	0.0553	0.0035	0.1378
IRAC 36_noise	0.1461	0.2312	0.1575	-0.0114	0.3773
IRAC 45_noise	0.0969	0.3414	0.1103	-0.0134	0.4383
