# Filter Magnitude Uncertainty
GaiaDR2v2_BP 12.0457 0.0037
GaiaDR2v2_G 11.8859 0.0029
GaiaDR2v2_RP 11.1774 0.0042
TESS 11.3103 0.0072
SPITZER_IRAC_36 9.9870 0.0250
SPITZER_IRAC_45 9.9580 0.0390
