#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5522.5918	401.0200	285.6581	5236.9337	5923.6118
logg	4.3005	0.6712	0.4717	3.8288	4.9717
[Fe/H]	-0.1741	0.1812	0.2071	-0.3813	0.0071
dist	417.9659	55.5889	34.6613	383.3046	473.5549
rad	1.9450	0.2918	0.2237	1.7213	2.2367
Av	0.2578	0.3002	0.1726	0.0852	0.5581
grav_mass	1.8413	6.0925	1.2826	0.5587	7.9339
lum	3.2188	1.3934	0.9610	2.2578	4.6122
AD	0.0420	0.0081	0.0061	0.0359	0.0502
age	4.2409	6.6317	4.2407	0.0002	13.44399260815075
iso_mas	0.9705	0.2391	0.1499	0.6625	1.8701460468195767
eep	452.8478	28.5650	110.1792	93.7451	499.09586285840066
BP_noise	0.0828	0.0247	0.0239	0.0589	0.1075
G_noise	0.0473	0.0218	0.0228	0.0245	0.0691
RP_noise	0.0447	0.0242	0.0205	0.0242	0.0689
TESS_noise	0.0649	0.0421	0.0299	0.0350	0.1070
IRAC 36_noise	0.1657	0.1272	0.0898	0.0759	0.2929
IRAC 45_noise	0.1832	0.1698	0.0954	0.0879	0.3531
