# Filter Magnitude Uncertainty
SkyMapper_g 16.4330 0.0250
GaiaDR2v2_BP 16.2913 0.0053
SkyMapper_r 15.3060 0.0270
GaiaDR2v2_G 15.2323 0.0030
GaiaDR2v2_RP 14.2146 0.0048
TESS 14.1865 0.0422
2MASS_J 12.5780 0.0220
2MASS_H 11.8590 0.0240
2MASS_Ks 11.6020 0.0240
SPITZER_IRAC_36 11.3190 0.0370
SPITZER_IRAC_45 11.3100 0.0550
