#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4235.2872	248.0933	253.7317	3981.5554	4483.3804
logg	4.1165	0.4091	0.3900	3.7266	4.5257
[Fe/H]	-0.2709	0.1677	0.1712	-0.4421	-0.1033
dist	1712.3055	142.8248	111.3193	1600.9862	1855.1303
rad	4.7451	0.5315	0.3697	4.3754	5.2766
Av	1.3276	0.3659	0.3659	0.9616	1.6935
grav_mass	8.3332	13.6603	4.5534	3.7797	21.9934
lum	6.4214	2.3942	1.5562	4.8652	8.8156
AD	0.0259	0.0031	0.0030	0.0228	0.0290
age	12.1357	1.3083	7.9851	0.0001	13.489144886065562
iso_mas	0.9883	0.2373	0.1072	0.7280	2.083098235428662
eep	479.6450	7.3230	8.7875	76.8827	503.0784328396837
g_noise	0.1021	0.0893	0.0580	0.0442	0.1914
BP_noise	0.0632	0.0288	0.0265	0.0367	0.0920
r_noise	0.1532	0.1307	0.0891	0.0641	0.2839
G_noise	0.0199	0.0131	0.0089	0.0110	0.0330
RP_noise	0.0505	0.0255	0.0204	0.0301	0.0760
TESS_noise	0.1698	0.2181	0.1163	0.0535	0.3879
J_noise	0.1716	0.0945	0.0693	0.1023	0.2661
H_noise	0.1131	0.1018	0.0575	0.0556	0.2150
Ks_noise	0.1204	0.0888	0.0577	0.0627	0.2091
IRAC 36_noise	0.3055	0.2007	0.1210	0.1846	0.5062
IRAC 45_noise	0.3674	0.1895	0.1507	0.2167	0.5569
