#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4072.0010	655.8015	279.5220	3792.4791	4727.8025
logg	3.6367	1.2307	0.2036	3.4331	4.8674
[Fe/H]	-0.2526	0.2681	0.3351	-0.5877	0.0155
dist	1702.1589	269.0912	218.4387	1483.7202	1971.2501
rad	4.5440	1.1200	0.5667	3.9773	5.6640
Av	1.1375	1.0016	0.6306	0.5069	2.1391
grav_mass	5.1705	16.7609	4.1902	0.9803	21.9314
lum	5.6045	4.8495	2.0517	3.5528	10.4540
AD	0.0255	0.0063	0.0053	0.0203	0.0319
age	12.1357	1.3083	7.9851	4.1506	13.4440
iso_mass	0.9883	0.2373	0.1072	0.8812	1.2257
eep	479.6450	7.3230	8.7875	470.8575	486.9679
g_noise	0.0647	0.1781	0.0701	-0.0054	0.2427
BP_noise	0.0632	0.0484	0.0577	0.0055	0.1116
r_noise	0.0934	0.2588	0.0971	-0.0037	0.3522
G_noise	0.0094	0.0353	0.0088	0.0006	0.0447
RP_noise	0.0536	0.0378	0.0478	0.0058	0.0913
TESS_noise	0.0596	0.4211	0.0842	-0.0247	0.4807
J_noise	0.1452	0.1684	0.1043	0.0409	0.3136
H_noise	0.0818	0.1694	0.0788	0.0030	0.2512
Ks_noise	0.1123	0.1372	0.1148	-0.0026	0.2494
IRAC 36_noise	0.2582	0.3617	0.1977	0.0604	0.6199
IRAC 45_noise	0.2594	0.4543	0.2125	0.0469	0.7137
