# Filter Magnitude Uncertainty
PS1_g 20.4011 0.0658
GaiaDR2v2_BP 19.6569 0.0393
PS1_r 17.2900 0.0000
GaiaDR2v2_G 17.7972 0.0031
PS1_i 17.0949 0.0057
GaiaDR2v2_RP 16.5462 0.0065
TESS 16.3012 0.6456
PS1_z 15.8870 0.0000
PS1_y 15.8018 0.0113
2MASS_J 14.1670 0.0370
SPITZER_IRAC_36 12.5290 0.0870
SPITZER_IRAC_45 12.1610 0.1180
