#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4289.3538	544.0975	248.1848	4041.1690	4833.4513
logg	3.8190	1.1450	0.3407	3.4783	4.9640
[Fe/H]	-0.1831	0.3802	0.2795	-0.4626	0.1971
dist	836.6621	78.2288	24.1945	812.4676	914.8910
rad	8.4358	1.0337	0.6891	7.7467	9.4694
Av	0.5018	0.7668	0.3783	0.1235	1.2686
grav_mass	17.0925	74.7144	12.4524	4.6401	91.8069
lum	21.5336	14.2216	5.8848	15.6488	35.7552
AD	0.0919	0.0122	0.0102	0.0817	0.1041
age	7.0916	6.3142	3.6598	3.4318	13.4058
iso_mass	1.0197	0.3181	0.1024	0.9173	1.3379
eep	514.1469	6.0138	4.1504	509.9965	520.1607
BP_noise	0.0399	0.0698	0.0389	0.0010	0.1097
G_noise	0.0214	0.0272	0.0206	0.0008	0.0486
RP_noise	0.0304	0.0535	0.0311	-0.0007	0.0839
TESS_noise	0.0395	0.2262	0.0547	-0.0153	0.2657
J_noise	0.0551	0.2003	0.0585	-0.0035	0.2553
H_noise	0.0701	0.2193	0.0795	-0.0094	0.2894
Ks_noise	0.0665	0.2143	0.0743	-0.0078	0.2808
W1_noise	0.1428	0.2005	0.1503	-0.0076	0.3432
IRAC 36_noise	0.1225	0.5131	0.1297	-0.0072	0.6356
IRAC 45_noise	0.0406	0.3110	0.0622	-0.0216	0.3517
W2_noise	0.0560	0.2315	0.0677	-0.0117	0.2875
