# Filter Magnitude Uncertainty
GaiaDR2v2_BP 12.4684 0.0059
GaiaDR2v2_G 11.6953 0.0032
GaiaDR2v2_RP 10.8217 0.0055
TESS 10.8680 0.0289
2MASS_J 9.5550 0.0220
2MASS_H 8.9320 0.0250
2MASS_Ks 8.7050 0.0230
WISE_RSR_W1 8.5920 0.0280
SPITZER_IRAC_36 8.5870 0.0450
SPITZER_IRAC_45 8.7090 0.0360
WISE_RSR_W2 8.7670 0.0260
