#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5983.4739	369.2769	424.2755	5559.1983	6352.7507
logg	4.1794	0.4792	0.3761	3.8033	4.6586
[Fe/H]	-0.1650	0.2622	0.2339	-0.3990	0.0971
dist	116.8332	21.9918	5.7495	111.0837	138.8250
rad	0.3646	0.0633	0.0236	0.3410	0.4279
Av	4.0850	0.2421	0.3204	3.7646	4.3271
grav_mass	0.0590	0.1129	0.0323	0.0267	0.1719
lum	0.1524	0.0704	0.0457	0.1067	0.2229
AD	0.0288	0.0049	0.0043	0.0244	0.0337
age	1.8310	9.5038	1.6138	0.0827	13.441738579981438
iso_mas	0.4944	0.0825	0.0862	0.3283	0.6950617276789948
eep	315.3021	13.0605	60.2794	192.2316	341.92550127510134
BP_noise	0.0338	0.0375	0.0203	0.0135	0.0713
G_noise	0.0167	0.0179	0.0093	0.0074	0.0346
RP_noise	0.0312	0.0251	0.0171	0.0140	0.0562
TESS_noise	0.0480	0.0294	0.0274	0.0206	0.0773
J_noise	0.0906	0.0706	0.0480	0.0426	0.1612
H_noise	0.1777	0.1509	0.1159	0.0617	0.3285
Ks_noise	0.1613	0.1059	0.1284	0.0329	0.2672
IRAC 36_noise	0.1334	0.1603	0.0897	0.0437	0.2937
IRAC 45_noise	0.2154	0.2500	0.1339	0.0815	0.4655
