#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5974.0564	627.7189	603.1025	5370.9539	6601.7753
logg	3.7390	1.2762	0.2804	3.4586	5.0152
[Fe/H]	-0.1421	0.3806	0.3865	-0.5286	0.2385
dist	116.0984	34.0812	10.4330	105.6653	150.1796
rad	0.3570	0.0869	0.0358	0.3212	0.4439
Av	4.0850	0.4296	0.4296	3.6554	4.5146
grav_mass	0.0524	0.0883	0.0441	0.0083	0.1407
lum	0.1497	0.1066	0.0727	0.0770	0.2563
AD	0.0285	0.0073	0.0060	0.0225	0.0358
age	1.8310	9.5038	1.6138	0.2172	11.3348
iso_mass	0.4944	0.0825	0.0862	0.4083	0.5769
eep	315.3021	13.0605	60.2794	255.0227	328.3626
BP_noise	0.0307	0.0561	0.0316	-0.0009	0.0868
G_noise	0.0067	0.0382	0.0086	-0.0019	0.0449
RP_noise	0.0278	0.0421	0.0277	0.0002	0.0699
TESS_noise	0.0418	0.0519	0.0417	0.0001	0.0937
J_noise	0.0495	0.1449	0.0560	-0.0065	0.1944
H_noise	0.1490	0.2401	0.1467	0.0023	0.3891
Ks_noise	0.0467	0.2653	0.0574	-0.0107	0.3120
IRAC 36_noise	0.0539	0.2739	0.0721	-0.0182	0.3277
IRAC 45_noise	0.1058	0.4577	0.1248	-0.0190	0.5636
