# Filter Magnitude Uncertainty
GaiaDR2v2_BP 16.7762 0.0053
GaiaDR2v2_G 15.2846 0.0040
GaiaDR2v2_RP 13.9608 0.0040
TESS 13.9046 0.0074
2MASS_J 12.2480 0.0260
2MASS_H 11.6190 0.0220
2MASS_Ks 11.3180 0.0200
SPITZER_IRAC_36 10.9800 0.0430
SPITZER_IRAC_45 10.9140 0.0520
