phase profile err
0.00390625 13.0 3.605551275463989
0.01171875 10.0 3.1622776601683795
0.01953125 22.0 4.69041575982343
0.02734375 16.0 4.0
0.03515625 7.0 2.6457513110645907
0.04296875 16.0 4.0
0.05078125 11.0 3.3166247903554
0.05859375 16.0 4.0
0.06640625 8.0 2.8284271247461903
0.07421875 13.0 3.605551275463989
0.08203125 13.0 3.605551275463989
0.08984375 17.0 4.123105625617661
0.09765625 11.0 3.3166247903554
0.10546875 18.0 4.242640687119285
0.11328125 12.0 3.4641016151377544
0.12109375 10.0 3.1622776601683795
0.12890625 16.0 4.0
0.13671875 12.0 3.4641016151377544
0.14453125 15.0 3.872983346207417
0.15234375 12.0 3.4641016151377544
0.16015625 15.0 3.872983346207417
0.16796875 12.0 3.4641016151377544
0.17578125 19.0 4.358898943540674
0.18359375 11.0 3.3166247903554
0.19140625 14.0 3.7416573867739413
0.19921875 20.0 4.47213595499958
0.20703125 14.0 3.7416573867739413
0.21484375 15.0 3.872983346207417
0.22265625 10.0 3.1622776601683795
0.23046875 17.0 4.123105625617661
0.23828125 12.0 3.4641016151377544
0.24609375 23.0 4.795831523312719
0.25390625 19.0 4.358898943540674
0.26171875 11.0 3.3166247903554
0.26953125 16.0 4.0
0.27734375 16.0 4.0
0.28515625 17.0 4.123105625617661
0.29296875 15.0 3.872983346207417
0.30078125 14.0 3.7416573867739413
0.30859375 10.0 3.1622776601683795
0.31640625 18.0 4.242640687119285
0.32421875 11.0 3.3166247903554
0.33203125 13.0 3.605551275463989
0.33984375 18.0 4.242640687119285
0.34765625 22.0 4.69041575982343
0.35546875 22.0 4.69041575982343
0.36328125 9.0 3.0
0.37109375 19.0 4.358898943540674
0.37890625 9.0 3.0
0.38671875 16.0 4.0
0.39453125 19.0 4.358898943540674
0.40234375 10.0 3.1622776601683795
0.41015625 21.0 4.58257569495584
0.41796875 15.0 3.872983346207417
0.42578125 14.0 3.7416573867739413
0.43359375 14.0 3.7416573867739413
0.44140625 7.0 2.6457513110645907
0.44921875 11.0 3.3166247903554
0.45703125 14.0 3.7416573867739413
0.46484375 14.0 3.7416573867739413
0.47265625 20.0 4.47213595499958
0.48046875 15.0 3.872983346207417
0.48828125 15.0 3.872983346207417
0.49609375 7.0 2.6457513110645907
0.50390625 11.0 3.3166247903554
0.51171875 12.0 3.4641016151377544
0.51953125 14.0 3.7416573867739413
0.52734375 14.0 3.7416573867739413
0.53515625 10.0 3.1622776601683795
0.54296875 15.0 3.872983346207417
0.55078125 17.0 4.123105625617661
0.55859375 8.0 2.8284271247461903
0.56640625 8.0 2.8284271247461903
0.57421875 5.0 2.23606797749979
0.58203125 8.0 2.8284271247461903
0.58984375 7.0 2.6457513110645907
0.59765625 6.0 2.449489742783178
0.60546875 8.0 2.8284271247461903
0.61328125 7.0 2.6457513110645907
0.62109375 8.0 2.8284271247461903
0.62890625 11.0 3.3166247903554
0.63671875 7.0 2.6457513110645907
0.64453125 6.0 2.449489742783178
0.65234375 5.0 2.23606797749979
0.66015625 7.0 2.6457513110645907
0.66796875 12.0 3.4641016151377544
0.67578125 7.0 2.6457513110645907
0.68359375 11.0 3.3166247903554
0.69140625 8.0 2.8284271247461903
0.69921875 8.0 2.8284271247461903
0.70703125 12.0 3.4641016151377544
0.71484375 9.0 3.0
0.72265625 8.0 2.8284271247461903
0.73046875 6.0 2.449489742783178
0.73828125 5.0 2.23606797749979
0.74609375 10.0 3.1622776601683795
0.75390625 6.0 2.449489742783178
0.76171875 5.0 2.23606797749979
0.76953125 6.0 2.449489742783178
0.77734375 4.0 2.0
0.78515625 4.0 2.0
0.79296875 8.0 2.8284271247461903
0.80078125 3.0 1.7320508075688772
0.80859375 8.0 2.8284271247461903
0.81640625 11.0 3.3166247903554
0.82421875 6.0 2.449489742783178
0.83203125 3.0 1.7320508075688772
0.83984375 5.0 2.23606797749979
0.84765625 8.0 2.8284271247461903
0.85546875 9.0 3.0
0.86328125 6.0 2.449489742783178
0.87109375 3.0 1.7320508075688772
0.87890625 6.0 2.449489742783178
0.88671875 12.0 3.4641016151377544
0.89453125 7.0 2.6457513110645907
0.90234375 9.0 3.0
0.91015625 6.0 2.449489742783178
0.91796875 0.0 0.0
0.92578125 0.0 0.0
0.93359375 5.0 2.23606797749979
0.94140625 12.0 3.4641016151377544
0.94921875 8.0 2.8284271247461903
0.95703125 6.0 2.449489742783178
0.96484375 7.0 2.6457513110645907
0.97265625 7.0 2.6457513110645907
0.98046875 13.0 3.605551275463989
0.98828125 7.0 2.6457513110645907
0.99609375 6.0 2.449489742783178
1.00390625 13.0 3.605551275463989
1.01171875 10.0 3.1622776601683795
1.01953125 22.0 4.69041575982343
1.02734375 16.0 4.0
1.03515625 7.0 2.6457513110645907
1.04296875 16.0 4.0
1.05078125 11.0 3.3166247903554
1.05859375 16.0 4.0
1.06640625 8.0 2.8284271247461903
1.07421875 13.0 3.605551275463989
1.08203125 13.0 3.605551275463989
1.08984375 17.0 4.123105625617661
1.09765625 11.0 3.3166247903554
1.10546875 18.0 4.242640687119285
1.11328125 12.0 3.4641016151377544
1.12109375 10.0 3.1622776601683795
1.12890625 16.0 4.0
1.13671875 12.0 3.4641016151377544
1.14453125 15.0 3.872983346207417
1.15234375 12.0 3.4641016151377544
1.16015625 15.0 3.872983346207417
1.16796875 12.0 3.4641016151377544
1.17578125 19.0 4.358898943540674
1.18359375 11.0 3.3166247903554
1.19140625 14.0 3.7416573867739413
1.19921875 20.0 4.47213595499958
1.20703125 14.0 3.7416573867739413
1.21484375 15.0 3.872983346207417
