#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5169.4145	567.2762	550.3426	4619.0719	5736.6907
logg	4.4055	0.4643	0.5316	3.8739	4.8698
[Fe/H]	-0.1543	0.1439	0.1855	-0.3397	-0.0104
dist	11248.3949	3315.2640	2396.5764	8851.8185	14563.6589
rad	52.4221	12.6960	13.2325	39.1896	65.1181
Av	6.2955	0.5346	0.4539	5.8416	6.8301
grav_mass	1339.1825	3730.3976	1044.5113	294.6712	5069.5801
lum	1466.0692	1405.7506	728.9077	737.1615	2871.8198
AD	0.0410	0.0155	0.0128	0.0283	0.0565
age	1.5789	7.3529	1.3082	0.0001	13.44287299208831
iso_mas	1.1012	0.7225	0.2518	0.5867	3.8597356976622095
eep	664.7501	13.1249	10.9374	80.6938	732.5619071743072
PS1_g_noise	0.1389	0.0746	0.0485	0.0903	0.2134
BP_noise	0.2788	0.0896	0.0617	0.2171	0.3684
PS1_r_noise	0.1028	0.1027	0.0496	0.0532	0.2055
G_noise	0.1245	0.0167	0.0149	0.1096	0.1412
PS1_i_noise	0.0550	0.0202	0.0175	0.0375	0.0752
RP_noise	0.0719	0.0281	0.0201	0.0518	0.0999
TESS_noise	1.7070	1.5296	0.9687	0.7383	3.2365
PS1_z_noise	0.0533	0.0274	0.0188	0.0346	0.0807
PS1_y_noise	0.0829	0.0354	0.0320	0.0509	0.1182
IRAC 36_noise	0.2686	0.1697	0.1085	0.1601	0.4384
IRAC 45_noise	0.2960	0.1534	0.1193	0.1767	0.4494
