#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3798.0752	147.8159	120.9403	3677.1349	3945.8911
logg	4.1301	0.3136	0.5662	3.5639	4.4437
[Fe/H]	-0.0440	0.2081	0.2136	-0.2575	0.1642
dist	3250.3009	243.7756	1003.7817	2246.5192	3494.0764
rad	9.4030	0.5731	2.9370	6.4659	9.9760
Av	0.9057	0.1643	0.2539	0.6517	1.0700
grav_mass	20.0440	34.2843	8.5711	11.4729	54.3284
lum	16.2806	3.7033	8.3325	7.9481	19.9839
AD	0.0266	0.0079	0.0092	0.0174	0.0345
age	0.4061	12.7219	0.4060	0.0001	13.1280
iso_mass	0.5120	0.5186	0.1585	0.3535	1.0306
eep	305.9249	228.9694	63.7636	242.1613	534.8943
PS1_g_noise	0.0240	0.0156	0.0095	0.0144	0.0395
BP_noise	0.0382	0.0892	0.0143	0.0238	0.1274
PS1_r_noise	0.0111	0.0268	0.0070	0.0041	0.0379
G_noise	0.0197	0.0351	0.0100	0.0097	0.0548
PS1_i_noise	0.0486	0.0371	0.0245	0.0242	0.0857
RP_noise	0.0041	0.0412	0.0084	-0.0043	0.0453
TESS_noise	4.3554	1.7279	3.9958	0.3596	6.0833
PS1_z_noise	0.0693	0.0634	0.0241	0.0452	0.1327
PS1_y_noise	0.0821	0.0826	0.0211	0.0610	0.1647
IRAC 36_noise	0.3138	0.2454	0.1840	0.1298	0.5592
IRAC 45_noise	0.5986	0.1205	0.4245	0.1741	0.7191
