# Filter Magnitude Uncertainty
PS1_g 17.1781 0.0041
GaiaDR2v2_BP 16.6948 0.0059
PS1_r 15.7610 0.0026
GaiaDR2v2_G 15.4959 0.0029
PS1_i 14.9121 0.0043
GaiaDR2v2_RP 14.4066 0.0049
TESS 14.5996 0.4412
PS1_z 14.3608 0.0074
PS1_y 13.9809 0.0135
SPITZER_IRAC_36 11.4840 0.0460
SPITZER_IRAC_45 11.3230 0.0600
