#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3833.4482	92.8895	92.8895	3740.5588	3926.3377
logg	4.0286	0.2800	0.2076	3.8210	4.3086
[Fe/H]	-0.0533	0.1239	0.1239	-0.1772	0.0706
dist	3127.8782	210.2791	556.3633	2571.5149	3338.1573
rad	9.0610	0.4912	1.7747	7.2863	9.5522
Av	0.9097	0.1414	0.1515	0.7583	1.0511
grav_mass	25.5640	22.5212	12.7294	12.8347	48.0852
lum	15.7046	2.5614	6.0833	9.6213	18.2660
AD	0.0268	0.0049	0.0058	0.0210	0.0317
age	0.4061	12.7219	0.4060	0.0001	13.443788358979994
iso_mas	0.5120	0.5186	0.1585	0.1518	4.459037944285937
eep	305.9249	228.9694	63.7636	59.5654	853.7125204292731
PS1_g_noise	0.0248	0.0167	0.0049	0.0199	0.0416
BP_noise	0.0578	0.0347	0.0160	0.0418	0.0925
PS1_r_noise	0.0194	0.0134	0.0098	0.0096	0.0328
G_noise	0.0292	0.0128	0.0061	0.0231	0.0419
PS1_i_noise	0.0605	0.0174	0.0239	0.0366	0.0779
RP_noise	0.0176	0.0106	0.0067	0.0109	0.0282
TESS_noise	4.1625	1.2728	1.7253	2.4372	5.4352
PS1_z_noise	0.0712	0.0463	0.0174	0.0538	0.1175
PS1_y_noise	0.1013	0.0360	0.0173	0.0840	0.1374
IRAC 36_noise	0.3578	0.1005	0.1488	0.2090	0.4583
IRAC 45_noise	0.5571	0.0892	0.2677	0.2894	0.6463
