# Filter Magnitude Uncertainty
STROMGREN_u 0.0000 0.0000
GROUND_JOHNSON_U 15.7300 0.0000
STROMGREN_v 0.0000 0.0000
GROUND_JOHNSON_B 15.3500 0.0000
STROMGREN_b 0.0000 0.0000
GaiaDR2v2_BP 19.8356 0.0747
STROMGREN_y 10.3500 0.1130
GROUND_JOHNSON_V 13.8800 0.0000
GaiaDR2v2_G 17.8048 0.0039
GaiaDR2v2_RP 16.4913 0.0239
TESS 16.6657 0.0103
2MASS_J 13.8750 0.0270
2MASS_H 12.7090 0.0380
2MASS_Ks 12.2610 0.0390
SPITZER_IRAC_36 11.7140 0.0860
SPITZER_IRAC_45 11.5230 0.1600
