#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4596.8581	419.2293	354.1764	4242.6817	5016.0874
logg	4.5331	0.4325	0.5045	4.0286	4.9656
[Fe/H]	-0.1505	0.1464	0.1691	-0.3196	-0.0041
dist	2971.4673	787.3342	524.8895	2446.5778	3758.8015
rad	5.8538	2.1769	1.2631	4.5907	8.0307
Av	4.4549	0.6468	0.6856	3.7692	5.1017
grav_mass	26.3445	70.6039	19.0087	7.3358	96.9483
lum	13.0924	13.4411	6.0617	7.0307	26.5335
AD	0.0178	0.0078	0.0053	0.0126	0.0256
age	2.5715	10.1501	1.8045	0.0452	13.488456500107423
iso_mas	0.9099	0.2416	0.1726	0.5509	2.608069548749331
eep	348.2746	325.8514	36.4589	74.8329	726.5356479951587
u_noise	1.8381	1.2103	0.7877	1.0504	3.0484
U_noise	1.8471	1.2037	0.8025	1.0446	3.0508
v_noise	1.8087	1.0705	0.6959	1.1129	2.8793
B_noise	2.1182	0.9823	0.8448	1.2734	3.1005
b_noise	1.9309	0.9615	0.6787	1.2522	2.8924
BP_noise	0.4102	0.3503	0.2302	0.1800	0.7605
y_noise	1.0524	0.4603	0.3208	0.7316	1.5127
V_noise	1.4680	1.0376	0.5974	0.8706	2.5056
G_noise	0.0463	0.0321	0.0200	0.0264	0.0784
RP_noise	0.2388	0.1140	0.0824	0.1563	0.3528
TESS_noise	0.2367	0.0610	0.0634	0.1733	0.2977
J_noise	0.2170	0.1397	0.1026	0.1145	0.3567
H_noise	0.2407	0.1705	0.1155	0.1252	0.4112
Ks_noise	0.2743	0.1850	0.1153	0.1591	0.4594
IRAC 36_noise	0.5808	0.3102	0.2532	0.3276	0.8910
IRAC 45_noise	0.7193	0.5923	0.3317	0.3876	1.3116
