#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4711.1061	391.9104	943.4879	3767.6182	5103.0165
logg	4.5141	0.9496	0.9966	3.5175	5.4636
[Fe/H]	-0.1557	0.2728	0.2847	-0.4403	0.1171
dist	2883.6902	1330.4998	1077.0712	1806.6189	4214.1899
rad	5.7700	4.6045	2.5625	3.2075	10.3745
Av	4.7595	0.9123	1.4698	3.2897	5.6718
grav_mass	17.4958	103.4089	17.2348	0.2609	120.9047
lum	9.1543	21.1448	7.4629	1.6914	30.2991
AD	0.0162	0.0154	0.0083	0.0079	0.0315
age	2.5715	10.1501	1.8045	0.7670	12.7216
iso_mass	0.9099	0.2416	0.1726	0.7373	1.1515
eep	348.2746	325.8514	36.4589	311.8157	674.1260
u_noise	1.5028	2.2163	1.1627	0.3401	3.7191
U_noise	1.1063	2.6684	0.7306	0.3757	3.7747
v_noise	1.3602	2.1426	0.9021	0.4581	3.5028
B_noise	1.9739	1.9386	1.5585	0.4154	3.9125
b_noise	1.3437	2.1269	0.8233	0.5204	3.4705
BP_noise	0.1655	0.8138	0.1899	-0.0244	0.9792
y_noise	0.8229	0.9336	0.3735	0.4495	1.7566
V_noise	1.0467	1.8678	0.7338	0.3129	2.9145
G_noise	0.0508	0.0495	0.0495	0.0012	0.1003
RP_noise	0.2246	0.2035	0.1542	0.0703	0.4280
TESS_noise	0.2493	0.1042	0.1325	0.1168	0.3535
J_noise	0.1863	0.2729	0.1819	0.0044	0.4591
H_noise	0.1921	0.3352	0.1868	0.0053	0.5273
Ks_noise	0.2030	0.3906	0.1761	0.0269	0.5936
IRAC 36_noise	0.2965	0.8629	0.2342	0.0623	1.1594
IRAC 45_noise	0.4829	0.9567	0.4465	0.0364	1.4396
