# Filter Magnitude Uncertainty
PS1_g 20.0150 0.0233
GaiaDR2v2_BP 19.4143 0.0498
GaiaDR2v2_G 18.3552 0.0035
GaiaDR2v2_RP 17.2238 0.0127
TESS 17.3506 0.1931
