#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4806.9147	433.2942	971.6294	3835.2854	5240.2089
logg	3.7510	1.1259	0.3009	3.4501	4.8769
[Fe/H]	0.0198	0.2392	0.2800	-0.2602	0.2589
dist	9204.6391	7867.7809	2873.4504	6331.1887	17072.4200
rad	36.7367	28.2906	10.8810	25.8557	65.0273
Av	8.4255	1.0072	1.5976	6.8279	9.4327
grav_mass	830.6895	801.4197	801.4197	29.2698	1632.1093
lum	483.3871	1155.7162	315.1953	168.1918	1639.1033
AD	0.0344	0.0274	0.0177	0.0166	0.0618
age	3.9242	8.3884	3.3824	0.5418	12.3125
iso_mass	1.0166	0.4329	0.1443	0.8723	1.4495
eep	478.9715	55.0106	114.2527	364.7188	533.9821
PS1_g_noise	1.4312	2.0677	1.2406	0.1906	3.4989
BP_noise	0.8154	0.5269	0.4339	0.3815	1.3423
PS1_r_noise	0.3105	0.4659	0.2489	0.0616	0.7765
G_noise	0.1550	0.0489	0.0212	0.1338	0.2040
PS1_i_noise	0.2409	0.1121	0.1258	0.1151	0.3530
RP_noise	0.1099	0.0750	0.0577	0.0522	0.1848
TESS_noise	0.5603	1.5282	0.6172	-0.0568	2.0886
PS1_z_noise	0.1765	0.1148	0.0837	0.0929	0.2914
PS1_y_noise	0.0555	0.2120	0.0696	-0.0141	0.2675
J_noise	0.0867	0.1367	0.0852	0.0016	0.2235
H_noise	0.0192	0.1325	0.0323	-0.0131	0.1518
Ks_noise	0.1052	0.1554	0.1028	0.0024	0.2606
IRAC 36_noise	0.0457	0.2643	0.0598	-0.0141	0.3101
IRAC 45_noise	0.0553	0.2682	0.1017	-0.0464	0.3236
