#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4682.7115	1245.6706	1077.7150	3604.9965	5928.3821
logg	5.3015	0.6161	1.8383	3.4632	5.9176
[Fe/H]	-0.1580	0.3762	0.3986	-0.5567	0.2181
dist	12806.3868	16803.2978	5306.3046	7500.0822	29609.6846
rad	9.8321	21.6017	5.7807	4.0514	31.4338
Av	4.3704	1.8324	1.3913	2.9791	6.2028
grav_mass	nan	nan	nan	nan	nan
lum	35.7878	107.3630	35.7877	0.0001	143.1508
AD	0.0027	0.0000	0.0000	0.0027	0.0027
age	0.4963	11.6388	0.4962	0.0001	12.1352
iso_mass	0.8405	0.2096	0.1901	0.6504	1.0501
eep	341.8554	86.1705	87.6822	254.1732	428.0259
BP_noise	0.3864	2.1645	0.5183	-0.1318	2.5509
G_noise	0.1334	0.1080	0.1224	0.0110	0.2413
RP_noise	0.2751	0.3470	0.2892	-0.0141	0.6221
TESS_noise	0.3348	0.1786	0.1497	0.1850	0.5134
J_noise	0.1454	0.1975	0.1469	-0.0016	0.3429
H_noise	0.1355	0.2562	0.1318	0.0038	0.3917
