#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4549.4818	592.5361	472.1772	4077.3046	5142.0179
logg	4.7710	0.4982	0.7220	4.0490	5.2692
[Fe/H]	-0.1793	0.2104	0.2071	-0.3864	0.0311
dist	16304.0011	9530.8200	4381.9862	11922.0149	25834.8211
rad	11.3035	8.7589	3.5237	7.7798	20.0623
Av	4.4483	0.9613	0.8411	3.6072	5.4096
grav_mass	128.4292	641.6672	120.3126	8.1166	770.0964
lum	45.3391	103.7128	26.7646	18.5745	149.0520
AD	0.0059	0.0051	0.0026	0.0033	0.0110
age	0.4963	11.6388	0.4962	0.0001	13.443413371954623
iso_mas	0.8405	0.2096	0.1901	0.2410	1.6984511458763278
eep	341.8554	86.1705	87.6822	48.5734	499.0787382781756
BP_noise	0.9599	0.9874	0.5708	0.3890	1.9472
G_noise	0.1245	0.0611	0.0529	0.0716	0.1856
RP_noise	0.2922	0.1919	0.1550	0.1372	0.4841
TESS_noise	0.3366	0.0939	0.0879	0.2487	0.4305
J_noise	0.1665	0.0995	0.0865	0.0799	0.2660
H_noise	0.1911	0.1237	0.1018	0.0893	0.3148
