# Filter Magnitude Uncertainty
GaiaDR2v2_BP 21.6167 0.2302
GaiaDR2v2_G 19.9990 0.0082
GaiaDR2v2_RP 18.6573 0.0464
TESS 19.0580 0.0163
2MASS_J 16.0240 0.0170
2MASS_H 15.1570 0.0260
