17:38:28,-29:28:42
17:45:25,-30:47:51
17:45:55,-30:42:40
17:46:23,-20:37:59
17:44:05,-30:39:54
17:38:41,-30:14:57
17:40:00,-30:38:47
17:39:47,-31:01:51
17:34:10,-32:29:47
17:34:06,-32:28:58
17:25:54,-34:16:55
17:26:01,-34:16:22
17:24:42,-34:19:36
17:24:42,-34:11:28
17:25:53,-34:17:32
17:26:10,-34:15:00
17:25:56,-34:12:32
17:16:01,-34:14:23
17:28:16,-35:02:29
17:25:59,-35:32:30
17:21:08,-35:50:15
17:24:48,-36:24:04
17:24:22,-36:08:07
17:24:53,-36:14:22
17:21:11,-35:55:07
17:22:36,-36:15:15
17:19:32,-36:09:41
17:19:40,-36:07:31
17:24:07,-37:27:57
17:23:37,-37:34:43
17:49:42,-28:17:04
17:54:41,-27:19:56
17:54:48,-26:25:23
17:55:00,-26:21:01
17:54:29,-26:16:04
18:00:46,-24:01:18
18:00:32,-24:02:34
17:53:28,-24:46:28
17:54:09,-24:38:25
17:56:50,-25:15:08
18:00:43,-24:01:51
17:58:12,-23:43:00
18:01:36,-23:42:04
18:02:27,-23:25:38
17:51:37,-27:59:00
17:46:59,-27:57:50
17:38:19,-30:23:57
17:35:27,-32:55:53
17:31:55,-33:28:38
17:31:15,-33:26:00
17:30:31,-34:32:19
17:30:13,-34:35:40
17:31:10,-34:40:43
17:30:09,-34:36:44
17:49:53,-27:05:35
17:52:09,-27:10:29
17:50:34,-26:48:58
17:53:17,-26:52:50
17:52:34,-26:27:37
17:52:40,-26:38:52
18:00:12,-24:03:59
17:59:47,-24:03:26
17:30:58,-33:30:49
17:42:24,-31:16:00
17:39:41,-29:29:37
17:39:24,-29:33:01
17:33:49,-32:28:38
17:20:55,-37:13:34
17:46:43,-29:28:29
18:00:07,-23:06:10
