OBSERVATION.OBSERVATION_ID,OBSERVATION.TARGET,OBSERVATION.RA_NOM,OBSERVATION.DEC_NOM,OBSERVATION.REVOLUTION,OBSERVATION.START_UTC,OBSERVATION.END_UTC,OBSERVATION.DURATION,TARGET_TYPE.DESCRIPTION,PROPOSAL.PI_SURNAME,PROPOSAL.TYPE,OBSERVATION.PROPRIETARY_END_DATE,OBSERVATION.PPS_VERSION,OBSERVATION.COORD_OBS
861450101,HD 81809,09 27 46.49,-06 04 17.6,3915,2021-04-26 00:59:11.000,2021-04-26 04:27:31.000,12500,STAR G2V,Favata,GO,2022-06-07 00:00:00.000,19.16_20210326_1200,
861470201,RS Oph,17 50 13.16,-06 42 28.5,3979,2021-08-30 15:28:16.000,2021-08-31 06:28:16.000,54000,CV CLASSICAL NOVA OSCILLATIONS,Orio,Target-Opportunity,2022-09-30 00:00:00.000,19.17_20220121_1250,
861581201,GSC 01262-00421,04 04 28.49,+21 56 05.0,3876,2021-02-06 09:17:55.000,2021-02-06 11:31:15.000,8000,T TAURI STAR,Meeus,Fulfill,2022-02-26 00:00:00.000,18.02_20200221_1200,
861582001,IRAS 16051-3820,16 08 30.70,-38 28 27.0,3883,2021-02-21 11:08:04.000,2021-02-21 15:43:53.000,16549,T TAURI STAR,Meeus,Fulfill,2022-03-17 00:00:00.000,18.02_20200221_1200,
861590101,WR48c,13 12 52.37,-63 23 45.8,3881,2021-02-16 19:16:20.000,2021-02-17 07:54:40.000,45500,WOLF RAYET STAR WN3,ZHEKOV,GO,2022-03-08 00:00:00.000,18.02_20200221_1200,
861610201,2MASX J16273931+3002,16 27 39.30,+30 02 23.9,3866,2021-01-17 04:55:36.000,2021-01-17 12:42:16.000,28000,CLUSTER OF GALAXIES (NON-ABELL),Bogdan,GO,2022-02-03 00:00:00.000,18.02_20200221_1200,
861840101,CGRaBSJ0211+1051,02 11 13.17,+10 51 34.0,3875,2021-02-04 22:41:14.000,2021-02-05 16:47:54.000,65200,BL LAC RADIO LOUD/POLARISED FLAT RADIO SP,Liodakis,GO,2022-02-24 00:00:00.000,18.02_20200221_1200,
861980101,Norma_cloud,16 32 32.19,-44 55 30.7,3887,2021-02-28 15:57:04.000,2021-03-01 15:07:04.000,83400,DARK CLOUD,Skinner,GO,2022-04-05 00:00:00.000,18.02_20200221_1200,
862090101,IC4329A,13 49 19.27,-30 18 33.9,3969,2021-08-10 16:50:25.000,2021-08-10 23:00:25.000,22200,SEYFERT,Ricci,GO,2022-09-27 00:00:00.000,19.16_20210326_1200,"NICER, NuS, Swi, ALMA"
862090201,IC4329A,13 49 19.27,-30 18 34.0,3969,2021-08-11 18:36:37.000,2021-08-11 23:19:57.000,17000,SEYFERT,Ricci,GO,2022-09-27 00:00:00.000,19.16_20210326_1200,"NICER, NuS, Swi, ALMA"
862090301,IC4329A,13 49 19.27,-30 18 33.9,3970,2021-08-12 16:45:45.000,2021-08-12 23:25:45.000,24000,SEYFERT,Ricci,GO,2022-09-27 00:00:00.000,19.16_20210326_1200,"NICER, NuS, Swi, ALMA"
862090401,IC4329A,13 49 19.27,-30 18 34.0,3970,2021-08-13 17:56:58.000,2021-08-13 23:30:18.000,20000,SEYFERT,Ricci,GO,2022-09-27 00:00:00.000,19.16_20210326_1200,"NICER, NuS, Swi, ALMA"
862090501,IC4329A,13 49 19.27,-30 18 34.0,3971,2021-08-14 16:45:15.000,2021-08-14 23:00:15.000,22500,SEYFERT,Ricci,GO,2022-09-27 00:00:00.000,19.16_20210326_1200,"NICER, NuS, Swi, ALMA"
862090601,IC4329A,13 49 19.27,-30 18 34.0,3971,2021-08-15 18:02:00.000,2021-08-15 23:00:20.000,17900,SEYFERT,Ricci,GO,2022-09-27 00:00:00.000,19.16_20210326_1200,"NICER, NuS, Swi, ALMA"
862090701,IC4329A,13 49 19.27,-30 18 34.0,3972,2021-08-16 16:42:33.000,2021-08-16 23:05:53.000,23000,SEYFERT,Ricci,GO,2022-09-27 00:00:00.000,19.16_20210326_1200,"NICER, NuS, Swi, ALMA"
862090801,IC4329A,13 49 19.27,-30 18 34.0,3972,2021-08-17 17:41:23.000,2021-08-17 23:06:23.000,19500,SEYFERT,Ricci,GO,2022-09-27 00:00:00.000,19.16_20210326_1200,"NICER, NuS, Swi, ALMA"
862090901,IC4329A,13 49 19.27,-30 18 34.0,3973,2021-08-18 16:35:14.000,2021-08-18 22:30:14.000,21300,SEYFERT,Ricci,GO,2022-09-27 00:00:00.000,19.16_20210326_1200,"NICER, NuS, Swi, ALMA"
862091001,IC4329A,13 49 19.27,-30 18 34.0,3973,2021-08-19 17:08:37.000,2021-08-19 23:03:37.000,21300,SEYFERT,Ricci,GO,2022-09-27 00:00:00.000,19.16_20210326_1200,"NICER, NuS, Swi, ALMA"
862150101,ZTF J213056.71+44204,21 30 56.70,+44 20 46.5,3860,2021-01-05 23:01:46.000,2021-01-06 18:53:26.000,71500,X-RAY BINARY,MEREGHETTI,GO,2022-01-30 00:00:00.000,18.02_20200221_1200,
862181501,BAT 1449,14 31 43.43,+14 43 37.2,3877,2021-02-08 16:34:41.000,2021-02-08 21:34:41.000,18000,AGN UNCLASSIFIED,Koss,GO,2022-02-23 00:00:00.000,18.02_20200221_1200,
