# Filter Magnitude Uncertainty
SkyMapper_g 12.2050 0.0030
GaiaDR2v2_BP 12.2892 0.0126
SkyMapper_r 11.3910 0.0030
GaiaDR2v2_G 11.3298 0.0042
GaiaDR2v2_RP 10.3689 0.0097
TESS 10.3858 0.0095
2MASS_J 9.0370 0.0260
2MASS_H 8.2980 0.0460
2MASS_Ks 8.0210 0.0240
SPITZER_IRAC_36 7.8140 0.0390
SPITZER_IRAC_45 7.8170 0.0360
