#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4668.4813	369.9885	903.2072	3765.2741	5038.4698
logg	3.9852	0.7020	0.4988	3.4864	4.6872
[Fe/H]	-0.3459	0.3317	0.2843	-0.6303	-0.0142
dist	773.6757	53.3989	18.4842	755.1915	827.0746
rad	10.4293	1.9399	1.1047	9.3246	12.3693
Av	1.4307	0.4914	1.2668	0.1640	1.9221
grav_mass	25.0847	59.0235	19.6745	5.4102	84.1082
lum	24.5665	48.0451	8.4785	16.0880	72.6116
AD	0.1232	0.0235	0.0149	0.1083	0.1467
age	12.4150	1.0739	7.7242	4.6909	13.4890
iso_mass	1.0265	0.1988	0.1312	0.8953	1.2253
eep	524.8506	3.0129	9.6413	515.2092	527.8635
g_noise	0.0683	0.0331	0.0283	0.0400	0.1014
BP_noise	0.0324	0.2047	0.0385	-0.0061	0.2372
r_noise	0.0558	0.0267	0.0407	0.0151	0.0825
G_noise	0.0281	0.0347	0.0284	-0.0003	0.0628
RP_noise	0.0284	0.1238	0.0316	-0.0031	0.1523
TESS_noise	0.0179	0.0635	0.0225	-0.0045	0.0814
J_noise	0.0928	0.2314	0.0931	-0.0003	0.3242
H_noise	0.1039	0.3378	0.1218	-0.0179	0.4417
Ks_noise	0.1104	0.2112	0.0972	0.0132	0.3215
IRAC 36_noise	0.2325	0.3229	0.1645	0.0680	0.5554
IRAC 45_noise	0.1762	0.2704	0.1091	0.0671	0.4466
