#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4394.9692	423.0741	199.9986	4194.9705	4818.0432
logg	4.0576	0.4894	0.3915	3.6661	4.5470
[Fe/H]	-0.3012	0.2055	0.2097	-0.5109	-0.0957
dist	783.0289	32.4432	15.2077	767.8212	815.4721
rad	10.7810	0.7232	0.8560	9.9251	11.5042
Av	1.0502	0.5485	0.2209	0.8293	1.5986
grav_mass	33.9477	65.8651	18.8186	15.1291	99.8128
lum	39.1860	16.9257	9.8278	29.3582	56.1117
AD	0.1260	0.0099	0.0106	0.1154	0.1359
age	12.4150	1.0739	7.7242	1.1799	13.488957481738575
iso_mas	1.0265	0.1988	0.1312	0.8436	2.0325827789806348
eep	524.8506	3.0129	9.6413	503.1576	683.3301990988673
g_noise	0.0688	0.0215	0.0172	0.0517	0.0903
BP_noise	0.0980	0.0590	0.0404	0.0576	0.1570
r_noise	0.0465	0.0214	0.0166	0.0299	0.0679
G_noise	0.0215	0.0328	0.0108	0.0107	0.0543
RP_noise	0.0659	0.0440	0.0440	0.0219	0.1098
TESS_noise	0.0260	0.0550	0.0178	0.0081	0.0810
J_noise	0.1537	0.1193	0.0988	0.0549	0.2730
H_noise	0.1922	0.1869	0.1393	0.0529	0.3791
Ks_noise	0.1471	0.1285	0.0820	0.0651	0.2756
IRAC 36_noise	0.2584	0.2516	0.1156	0.1428	0.5100
IRAC 45_noise	0.2104	0.1929	0.0827	0.1277	0.4033
