"OBSERVATION.OBSERVATION_ID","OBSERVATION.TARGET","OBSERVATION.RA_NOM","OBSERVATION.DEC_NOM","OBSERVATION.REVOLUTION","OBSERVATION.START_UTC","OBSERVATION.END_UTC","OBSERVATION.DURATION","TARGET_TYPE.DESCRIPTION","PROPOSAL.PI_SURNAME","PROPOSAL.TYPE","OBSERVATION.PROPRIETARY_END_DATE","OBSERVATION.PPS_VERSION","OBSERVATION.COORD_OBS"
"0932190101","MW Plane 157","17 25 54.09","-35 55 55.7","4346","2023-09-01 15:23:18.000","2023-09-01 18:49:58.000","12400","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-09-22 00:00:00.000","20.10_20230417_1156",
"0932190201","MW Plane 158","17 48 01.30","-27 25 36.7","4346","2023-09-01 19:22:28.000","2023-09-01 22:34:08.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-09-22 00:00:00.000","20.10_20230417_1156",
"0932190301","MW Plane 159","17 50 44.89","-27 42 18.4","4346","2023-09-01 22:54:08.000","2023-09-02 02:05:48.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-09-22 00:00:00.000","20.10_20230417_1156",
"0932190401","MW Plane 160","17 49 55.88","-27 26 20.1","4360","2023-09-30 01:42:45.000","2023-09-30 04:54:25.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-23 00:00:00.000","20.10_20230417_1156",
"0932190501","MW Plane 161","17 48 54.59","-27 05 56.3","4347","2023-09-04 00:05:45.000","2023-09-04 03:25:45.000","12000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-09-20 00:00:00.000","20.10_20230417_1156",
"0932190601","MW Plane 162","17 51 54.30","-27 21 38.7","4347","2023-09-04 03:45:45.000","2023-09-04 07:22:25.000","13000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-09-20 00:00:00.000","20.10_20230417_1156",
"0932190701","MW Plane 163","17 50 51.19","-27 03 48.9","4347","2023-09-04 07:42:25.000","2023-09-04 11:19:05.000","13000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-09-20 00:00:00.000","20.10_20230417_1156",
"0932190801","MW Plane 164","17 49 47.59","-26 46 13.9","4347","2023-09-04 11:39:05.000","2023-09-04 15:15:45.000","13000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-09-21 00:00:00.000","20.10_20230417_1156",
"0932190901","MW Plane 165","17 52 42.70","-27 00 12.3","4348","2023-09-06 11:31:42.000","2023-09-06 15:08:22.000","13000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-09 00:00:00.000","20.10_20230417_1156",
"0932191001","MW Plane 166","17 50 52.20","-26 25 45.4","4350","2023-09-10 02:49:12.000","2023-09-10 06:00:52.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-09-29 00:00:00.000","20.10_20230417_1156",
"0932191101","MW Plane 167","17 53 39.29","-26 40 17.2","4350","2023-09-10 06:20:52.000","2023-09-10 09:32:32.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-09-26 00:00:00.000","20.10_20230417_1156",
"0932191201","MW Plane 157","17 25 54.09","-35 55 55.7","4346","2023-09-01 12:16:38.000","2023-09-01 15:23:18.000","11200","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-09-22 00:00:00.000","20.10_20230417_1156",
