"OBSERVATION.OBSERVATION_ID","OBSERVATION.TARGET","OBSERVATION.RA_NOM","OBSERVATION.DEC_NOM","OBSERVATION.REVOLUTION","OBSERVATION.START_UTC","OBSERVATION.END_UTC","OBSERVATION.DURATION","TARGET_TYPE.DESCRIPTION","PROPOSAL.PI_SURNAME","PROPOSAL.TYPE","OBSERVATION.PROPRIETARY_END_DATE","OBSERVATION.PPS_VERSION","OBSERVATION.COORD_OBS"
"0886110101","MW Plane 131","17 56 36.40","-23 30 23.4","4364","2023-10-07 22:54:51.000","2023-10-08 05:18:11.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-31 00:00:00.000","20.10_20230417_1156",
"0886110201","MW Plane 132","17 59 06.20","-23 50 13.1","4445","2024-03-16 23:58:43.000","2024-03-17 03:47:03.000","13700","UNIDENTIFIED","Ponti","Multi-Year Heritage","2024-04-08 00:00:00.000","21.23_20231215_1101",
"0886110301","MW Plane 133","17 58 16.19","-23 30 24.7","4365","2023-10-10 10:06:11.000","2023-10-10 16:29:30.000","22999","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-30 00:00:00.000","20.10_20230417_1156",
"0886110401","MW Plane 134","18 02 26.30","-23 49 59.6","4367","2023-10-13 20:33:53.000","2023-10-13 23:45:33.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-11-02 00:00:00.000","20.10_20230417_1156",
"0886110501","MW Plane 135","18 01 35.79","-23 30 15.2","4367","2023-10-13 12:27:13.000","2023-10-13 20:13:53.000","28000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-11-06 00:00:00.000","20.10_20230417_1156",
"0886110601","MW Plane 136","17 57 26.39","-23 10 35.2","4365","2023-10-09 23:51:11.000","2023-10-10 06:14:31.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-26 00:00:00.000","20.10_20230417_1156",
"0886110701","MW Plane 137","17 59 55.99","-23 30 21.8","4454","2024-04-04 18:03:29.000","2024-04-05 00:26:49.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2024-04-09 00:00:00.000","21.23_20231215_1101",
"0886110901","MW Plane 139","18 03 15.60","-23 30 04.4","4453","2024-04-02 20:49:54.000","2024-04-03 03:13:14.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2024-04-09 00:00:00.000","21.23_20231215_1101",
"0886111001","MW Plane 140","18 00 45.50","-23 10 29.6","4455","2024-04-06 19:44:12.000","2024-04-07 02:07:32.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2024-04-16 00:00:00.000","21.23_20231215_1101",
"0886111101","MW Plane 141","17 58 16.19","-22 50 45.7","4454","2024-04-05 00:46:49.000","2024-04-05 10:10:09.000","33800","UNIDENTIFIED","Ponti","Multi-Year Heritage","2024-04-09 00:00:00.000","21.23_20231215_1101",
"0886111401","MW Plane 135","18 01 35.79","-23 30 15.2","4367","2023-10-13 10:22:13.000","2023-10-13 12:27:13.000","7500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-11-02 00:00:00.000","20.10_20230417_1156",
