"OBSERVATION.OBSERVATION_ID","OBSERVATION.TARGET","OBSERVATION.RA_NOM","OBSERVATION.DEC_NOM","OBSERVATION.REVOLUTION","OBSERVATION.START_UTC","OBSERVATION.END_UTC","OBSERVATION.DURATION","TARGET_TYPE.DESCRIPTION","PROPOSAL.PI_SURNAME","PROPOSAL.TYPE","OBSERVATION.PROPRIETARY_END_DATE","OBSERVATION.PPS_VERSION","OBSERVATION.COORD_OBS"
"0886010101","MW Plane 1","17 39 04.37","-29 27 44.7","3893","2021-03-13 04:30:20.000","2021-03-13 14:17:00.000","35200","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-04-05 00:00:00.000","19.16_20210326_1200",
"0886010201","MW Plane 2","17 41 18.22","-29 53 08.9","3898","2021-03-22 13:45:04.000","2021-03-22 20:08:24.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-04-05 00:00:00.000","19.16_20210326_1200",
"0886010301","MW Plane 3","17 39 40.41","-29 53 14.3","3898","2021-03-22 20:28:24.000","2021-03-23 02:51:44.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-04-05 00:00:00.000","19.16_20210326_1200",
"0886010401","MW Plane 4","17 45 45.47","-30 44 09.1","3895","2021-03-16 19:06:37.000","2021-03-17 01:29:57.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-04-05 00:00:00.000","19.16_20210326_1200",
"0886010501","MW Plane 5","17 43 52.99","-30 34 04.4","3895","2021-03-17 01:49:57.000","2021-03-17 08:13:17.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-04-05 00:00:00.000","19.16_20210326_1200",
"0886010601","MW Plane 6","17 40 52.87","-30 11 05.5","3896","2021-03-18 16:04:17.000","2021-03-18 22:27:37.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-04-05 00:00:00.000","19.16_20210326_1200",
"0886010701","MW Plane 7","17 42 16.94","-30 23 20.8","3899","2021-03-24 17:58:02.000","2021-03-25 00:21:22.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-04-05 00:00:00.000","19.16_20210326_1200",
"0886010801","MW Plane 8","17 38 11.57","-30 07 38.8","3899","2021-03-25 00:41:22.000","2021-03-25 07:04:42.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-04-05 00:00:00.000","19.16_20210326_1200",
"0886010901","MW Plane 9","17 44 20.63","-30 57 26.8","3901","2021-03-28 15:02:43.000","2021-03-28 21:26:03.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-04-05 00:00:00.000","19.16_20210326_1200",
"0886011001","MW Plane 10","17 40 30.29","-30 34 11.8","3901","2021-03-28 21:46:03.000","2021-03-29 04:09:23.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-04-05 00:00:00.000","19.16_20210326_1200",
"0886011101","MW Plane 11","17 42 13.20","-30 52 26.5","3902","2021-03-30 13:51:53.000","2021-03-30 21:05:13.000","26000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-04-05 00:00:00.000","19.16_20210326_1200",
"0886011201","MW Plane 12","17 37 20.07","-30 26 19.6","3902","2021-03-30 21:25:13.000","2021-03-31 04:38:33.000","26000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-04-05 00:00:00.000","19.16_20210326_1200",
"0886011301","MW Plane 13","17 43 23.87","-31 16 31.0","3905","2021-04-05 08:02:59.000","2021-04-05 15:24:39.000","26500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-04-13 00:00:00.000","19.16_20210326_1200",
