"OBSERVATION.OBSERVATION_ID","OBSERVATION.TARGET","OBSERVATION.RA_NOM","OBSERVATION.DEC_NOM","OBSERVATION.REVOLUTION","OBSERVATION.START_UTC","OBSERVATION.END_UTC","OBSERVATION.DURATION","TARGET_TYPE.DESCRIPTION","PROPOSAL.PI_SURNAME","PROPOSAL.TYPE","OBSERVATION.PROPRIETARY_END_DATE","OBSERVATION.PPS_VERSION","OBSERVATION.COORD_OBS"
"0886090201","MW Plane 106","17 57 25.40","-25 49 08.2","4359","2023-09-28 17:35:38.000","2023-09-28 22:33:58.000","17900","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-16 00:00:00.000","20.10_20230417_1156",
"0886090301","MW Plane 107","17 52 22.40","-25 09 06.8","4359","2023-09-28 10:52:18.000","2023-09-28 17:15:38.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-16 00:00:00.000","20.10_20230417_1156",
"0886090401","MW Plane 108","17 54 03.50","-25 09 19.0","4359","2023-09-28 04:08:58.000","2023-09-28 10:32:18.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-16 00:00:00.000","20.10_20230417_1156",
"0886090501","MW Plane 109","18 00 46.29","-23 50 08.4","4366","2023-10-11 12:37:20.000","2023-10-11 16:39:00.000","14500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-11-02 00:00:00.000","20.10_20230417_1156",
"0886090601","MW Plane 110","17 54 53.49","-25 29 12.3","4362","2023-10-04 11:43:53.000","2023-10-04 18:07:13.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-20 00:00:00.000","20.10_20230417_1156",
"0886090701","MW Plane 111","17 58 16.19","-25 29 19.6","4365","2023-10-10 06:34:31.000","2023-10-10 09:46:11.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-30 00:00:00.000","20.10_20230417_1156",
"0886090801","MW Plane 112","17 53 13.69","-24 49 24.6","4361","2023-10-02 07:58:21.000","2023-10-02 14:21:41.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-23 00:00:00.000","20.10_20230417_1156",
"0886090901","MW Plane 113","17 56 33.60","-25 29 08.1","4364","2023-10-07 13:04:51.000","2023-10-07 19:03:11.000","21500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-30 00:00:00.000","20.10_20230417_1156",
"0886091001","MW Plane 114","17 54 53.29","-24 49 24.4","4362","2023-10-04 08:12:13.000","2023-10-04 11:23:53.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-20 00:00:00.000","20.10_20230417_1156",
"0886091101","MW Plane 115","17 55 43.30","-25 09 16.9","4362","2023-10-04 18:27:13.000","2023-10-04 22:52:13.000","15900","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-20 00:00:00.000","20.10_20230417_1156",
"0886091201","MW Plane 116","17 59 06.80","-25 09 29.7","4366","2023-10-11 16:59:00.000","2023-10-11 20:10:40.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-30 00:00:00.000","20.10_20230417_1156",
"0886091501","MW Plane 109","18 00 46.29","-23 50 08.4","4366","2023-10-11 10:24:00.000","2023-10-11 12:37:20.000","8000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-30 00:00:00.000","20.10_20230417_1156",
