"OBSERVATION.OBSERVATION_ID","OBSERVATION.TARGET","OBSERVATION.RA_NOM","OBSERVATION.DEC_NOM","OBSERVATION.REVOLUTION","OBSERVATION.START_UTC","OBSERVATION.END_UTC","OBSERVATION.DURATION","TARGET_TYPE.DESCRIPTION","PROPOSAL.PI_SURNAME","PROPOSAL.TYPE","OBSERVATION.PROPRIETARY_END_DATE","OBSERVATION.PPS_VERSION","OBSERVATION.COORD_OBS"
"0916800101","MW Plane 55A","17 29 33.47","-33 04 16.4","4252","2023-02-27 06:36:04.000","2023-02-27 13:42:44.000","25600","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-03-10 00:00:00.000","20.09_20221024_1724",
"0916800201","MW Plane 55B","17 30 09.55","-33 15 48.7","4267","2023-03-28 17:47:30.000","2023-03-28 22:52:30.000","18300","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-04-27 00:00:00.000","20.10_20230417_1156",
"0916800301","MW Plane 56A","17 31 22.42","-33 05 37.3","4267","2023-03-28 23:12:30.000","2023-03-29 02:24:10.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-04-28 00:00:00.000","20.10_20230417_1156",
"0916800401","MW Plane 56B","17 31 33.17","-33 19 13.9","4267","2023-03-29 02:44:10.000","2023-03-29 05:55:50.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-04-28 00:00:00.000","20.10_20230417_1156",
"0916800501","MW Plane 57A","17 34 51.33","-33 47 34.4","4251","2023-02-25 03:04:56.000","2023-02-25 06:16:36.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-03-13 00:00:00.000","20.09_20221024_1724",
"0916800601","MW Plane 57B","17 33 45.09","-33 48 32.7","4267","2023-03-29 06:15:50.000","2023-03-29 11:34:10.000","19100","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-04-28 00:00:00.000","20.10_20230417_1156",
"0916800701","MW Plane 58A","17 30 22.35","-33 24 43.5","4256","2023-03-06 10:06:09.000","2023-03-06 13:44:29.000","13100","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-03-23 00:00:00.000","20.09_20221024_1724",
"0916800801","MW Plane 58B","17 31 03.09","-33 35 34.9","4256","2023-03-06 14:04:29.000","2023-03-06 17:16:09.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-03-23 00:00:00.000","20.09_20221024_1724",
"0916800901","MW Plane 59a","17 33 51.55","-34 06 46.8","4256","2023-03-06 17:36:09.000","2023-03-06 20:47:49.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-04-20 00:00:00.000","20.10_20230417_1156",
"0916801001","MW Plane 59B","17 32 57.43","-33 58 50.9","4256","2023-03-06 21:07:49.000","2023-03-07 00:19:29.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-04-20 00:00:00.000","20.10_20230417_1156",
"0916801101","MW Plane 60A","17 27 32.10","-33 42 20.2","4256","2023-03-07 00:39:29.000","2023-03-07 03:51:09.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-03-23 00:00:00.000","20.09_20221024_1724",
"0916801201","MW Plane 60B","17 28 37.73","-33 44 17.9","4256","2023-03-07 04:11:09.000","2023-03-07 07:22:49.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-03-23 00:00:00.000","20.09_20221024_1724",
"0916801301","MW Plane 61A","17 29 21.83","-33 43 47.9","4256","2023-03-07 07:42:49.000","2023-03-07 13:07:49.000","19500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-03-23 00:00:00.000","20.09_20221024_1724",
"0916801401","MW Plane 61B","17 30 26.93","-33 46 25.9","4257","2023-03-08 01:56:24.000","2023-03-08 07:54:44.000","21500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-03-23 00:00:00.000","20.09_20221024_1724",
"0916801501","MW Plane 62A","17 32 51.32","-34 25 57.5","4257","2023-03-08 08:14:44.000","2023-03-08 11:26:24.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-04-26 00:00:00.000","20.10_20230417_1156",
