"OBSERVATION.OBSERVATION_ID","OBSERVATION.TARGET","OBSERVATION.RA_NOM","OBSERVATION.DEC_NOM","OBSERVATION.REVOLUTION","OBSERVATION.START_UTC","OBSERVATION.END_UTC","OBSERVATION.DURATION","TARGET_TYPE.DESCRIPTION","PROPOSAL.PI_SURNAME","PROPOSAL.TYPE","OBSERVATION.PROPRIETARY_END_DATE","OBSERVATION.PPS_VERSION","OBSERVATION.COORD_OBS"
"0886100101","MW Plane 118","17 55 47.30","-24 30 50.7","4363","2023-10-06 12:17:37.000","2023-10-06 16:27:37.000","15000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-24 00:00:00.000","20.10_20230417_1156",
"0886100201","MW Plane 119","17 57 22.79","-25 09 57.0","4364","2023-10-08 10:11:31.000","2023-10-08 14:04:51.000","14000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-31 00:00:00.000","20.10_20230417_1156",
"0886100301","MW Plane 120","17 59 57.39","-24 46 58.8","4366","2023-10-11 20:30:40.000","2023-10-11 23:42:20.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-26 00:00:00.000","20.10_20230417_1156",
"0886100401","MW Plane 121","17 56 41.60","-24 49 03.2","4364","2023-10-08 05:38:11.000","2023-10-08 09:51:31.000","15200","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-31 00:00:00.000","20.10_20230417_1156",
"0886100501","MW Plane 122","17 54 55.58","-24 09 56.4","4363","2023-10-05 22:50:57.000","2023-10-06 05:14:17.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-24 00:00:00.000","20.10_20230417_1156",
"0886100601","MW Plane 123","17 58 21.29","-24 50 30.4","4365","2023-10-10 16:49:30.000","2023-10-10 22:22:50.000","20000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-26 00:00:00.000","20.10_20230417_1156",
"0886100701","MW Plane 124","17 56 36.20","-24 11 13.4","4360","2023-09-30 08:58:35.000","2023-09-30 12:10:15.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-19 00:00:00.000","20.10_20230417_1156",
"0886100801","MW Plane 125","18 00 47.10","-24 29 46.8","4360","2023-09-30 05:26:55.000","2023-09-30 08:38:35.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-20 00:00:00.000","20.10_20230417_1156",
"0886100901","MW Plane 126","17 57 36.20","-24 30 33.0","4360","2023-09-30 12:30:15.000","2023-09-30 15:41:55.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-16 00:00:00.000","20.10_20230417_1156",
"0886101001","MW Plane 127","17 55 46.09","-23 50 10.5","4363","2023-10-06 05:34:17.000","2023-10-06 11:57:37.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-30 00:00:00.000","20.10_20230417_1156",
"0886101101","MW Plane 128","17 59 10.09","-24 29 48.7","4442","2024-03-11 18:22:49.000","2024-03-11 21:34:29.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2024-04-02 00:00:00.000","21.23_20231215_1101",
"0886101201","MW Plane 129","17 57 26.19","-23 50 13.8","4364","2023-10-08 14:24:51.000","2023-10-08 22:36:31.000","29500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-31 00:00:00.000","20.10_20230417_1156",
"0886101301","MW Plane 130","18 01 36.79","-24 09 53.7","4442","2024-03-11 21:54:29.000","2024-03-12 01:06:09.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2024-04-02 00:00:00.000","21.23_20231215_1101",
"0886101401","MW Plane 124","17 56 36.20","-24 11 13.4","4442","2024-03-11 14:51:09.000","2024-03-11 18:02:49.000","11500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2024-04-02 00:00:00.000","21.23_20231215_1101",
