"OBSERVATION.OBSERVATION_ID","OBSERVATION.TARGET","OBSERVATION.RA_NOM","OBSERVATION.DEC_NOM","OBSERVATION.REVOLUTION","OBSERVATION.START_UTC","OBSERVATION.END_UTC","OBSERVATION.DURATION","TARGET_TYPE.DESCRIPTION","PROPOSAL.PI_SURNAME","PROPOSAL.TYPE","OBSERVATION.PROPRIETARY_END_DATE","OBSERVATION.PPS_VERSION","OBSERVATION.COORD_OBS"
"0886030101","MW Plane 27","17 34 38.49","-31 28 34.4","4071","2022-03-02 11:00:33.000","2022-03-02 17:23:53.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-03-18 00:00:00.000","19.17_20220121_1250",
"0886030201","MW Plane 28","17 35 32.42","-31 47 19.7","4078","2022-03-17 03:34:25.000","2022-03-17 13:02:45.000","34100","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-04-21 00:00:00.000","19.17_20220121_1250",
"0886030301","MW Plane 29","17 39 47.81","-32 12 52.3","4079","2022-03-18 16:07:36.000","2022-03-18 22:30:56.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-04-07 00:00:00.000","19.17_20220121_1250",
"0886030401","MW Plane 30","17 37 59.82","-32 11 58.6","4080","2022-03-20 08:30:26.000","2022-03-20 15:27:06.000","25000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-04-05 00:00:00.000","20.08_20220509_1852",
"0886030501","MW Plane 31","17 33 36.07","-31 49 08.0","4080","2022-03-20 15:47:06.000","2022-03-20 22:10:26.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-04-20 00:00:00.000","19.17_20220121_1250",
"0886030601","MW Plane 32","17 36 11.86","-32 10 59.3","4080","2022-03-20 22:30:26.000","2022-03-21 04:53:46.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-04-21 00:00:00.000","19.17_20220121_1250",
"0886030701","MW Plane 33","17 38 50.14","-32 32 13.2","4080","2022-03-21 05:17:34.000","2022-03-21 12:39:14.000","26500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-04-21 00:00:00.000","19.17_20220121_1250",
"0886030801","MW Plane 34","17 34 30.29","-32 07 48.8","4081","2022-03-22 14:06:36.000","2022-03-22 20:29:56.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-04-20 00:00:00.000","19.17_20220121_1250",
"0886030901","MW Plane 35","17 37 01.76","-32 31 16.5","4081","2022-03-22 20:49:56.000","2022-03-23 03:13:16.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-04-11 00:00:00.000","19.17_20220121_1250",
"0886031001","MW Plane 36","17 32 36.06","-32 08 43.3","4081","2022-03-23 03:33:16.000","2022-03-23 11:59:56.000","30400","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-04-11 00:00:00.000","19.17_20220121_1250",
"0886031101","MW Plane 37","17 51 38.01","-28 22 47.1","4173","2022-09-22 15:03:03.000","2022-09-23 00:19:43.000","33400","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-10-11 00:00:00.000","20.08_20220509_1852",
"0886031601","MW Plane 39","17 37 48.08","-32 49 46.6","4173","2022-09-22 07:17:13.000","2022-09-22 14:30:33.000","26000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-10-10 00:00:00.000","20.08_20220509_1852",
