"OBSERVATION.OBSERVATION_ID","OBSERVATION.TARGET","OBSERVATION.RA_NOM","OBSERVATION.DEC_NOM","OBSERVATION.REVOLUTION","OBSERVATION.START_UTC","OBSERVATION.END_UTC","OBSERVATION.DURATION","TARGET_TYPE.DESCRIPTION","PROPOSAL.PI_SURNAME","PROPOSAL.TYPE","OBSERVATION.PROPRIETARY_END_DATE","OBSERVATION.PPS_VERSION","OBSERVATION.COORD_OBS"
"0886020101","MW Plane 14","17 38 28.26","-30 45 43.6","3904","2021-04-03 13:58:34.000","2021-04-03 20:21:54.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-03-18 00:00:00.000","19.16_20210326_1200",
"0886020201","MW Plane 15","17 41 19.90","-31 17 12.3","3904","2021-04-03 20:41:54.000","2021-04-04 03:05:14.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-03-31 00:00:00.000","19.16_20210326_1200",
"0886020301","MW Plane 16","17 36 30.32","-30 48 13.3","3900","2021-03-26 10:41:32.000","2021-03-26 17:04:52.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-04-14 00:00:00.000","19.16_20210326_1200",
"0886020401","MW Plane 17","17 42 02.37","-31 36 29.0","3981","2021-09-04 06:18:02.000","2021-09-04 13:39:42.000","26500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-09-08 00:00:00.000","19.16_20210326_1200",
"0886020501","MW Plane 18","17 39 10.24","-31 13 38.0","3984","2021-09-10 15:28:30.000","2021-09-10 21:51:50.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-09-21 00:00:00.000","19.16_20210326_1200",
"0886020601","MW Plane 19","17 37 21.73","-31 10 22.5","3985","2021-09-12 17:06:19.000","2021-09-13 01:44:39.000","31100","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-09-23 00:00:00.000","19.16_20210326_1200",
"0886020701","MW Plane 20","17 39 52.64","-31 36 31.4","3983","2021-09-08 15:58:55.000","2021-09-09 02:05:18.000","36383","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-09-14 00:00:00.000","19.16_20210326_1200",
"0886020801","MW Plane 21","17 35 42.74","-31 08 08.5","3997","2021-10-06 01:25:23.000","2021-10-06 08:24:33.000","25150","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-10-13 00:00:00.000","19.16_20210326_1200",
"0886020901","MW Plane 22","17 40 45.09","-31 53 29.8","3997","2021-10-06 08:57:03.000","2021-10-06 15:32:53.000","23750","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-10-13 00:00:00.000","19.16_20210326_1200",
"0886021001","MW Plane 23","17 38 09.66","-31 31 40.4","3997","2021-10-06 15:52:53.000","2021-10-07 00:06:13.000","29600","UNIDENTIFIED","Ponti","Multi-Year Heritage","2021-10-13 00:00:00.000","19.16_20210326_1200",
"0886021101","MW Plane 24","17 36 41.11","-31 26 25.2","4166","2022-09-07 14:32:21.000","2022-09-07 23:34:01.000","32500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-09-28 00:00:00.000","20.08_20220509_1852",
"0886021201","MW Plane 25","17 38 57.45","-31 52 39.1","4069","2022-02-26 16:11:23.000","2022-02-26 22:33:32.000","22929","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-03-15 00:00:00.000","19.17_20220121_1250",
"0886021301","MW Plane 26","17 37 09.86","-31 51 42.8","4071","2022-03-02 01:28:53.000","2022-03-02 10:40:33.000","33100","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-03-16 00:00:00.000","19.17_20220121_1250",
"0886021401","MW Plane 26","17 37 09.86","-31 51 42.8","4071","2022-03-01 23:54:42.000","2022-03-02 01:28:53.000","5651","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-03-16 00:00:00.000","19.17_20220121_1250",
"0886021601","MW Plane 24","17 36 41.11","-31 26 25.2","4166","2022-09-07 11:14:05.000","2022-09-07 14:32:21.000","11896","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-09-20 00:00:00.000","20.08_20220509_1852",
"0886021701","MW Plane 23","17 38 03.29","-31 30 23.9","4175","2022-09-26 15:38:20.000","2022-09-27 00:00:00.000","30100","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-10-21 00:00:00.000","20.08_20220509_1852",
