# Filter Magnitude Uncertainty
GROUND_JOHNSON_B 15.8180 0.0270
SDSS_g 15.2510 0.0350
SkyMapper_g 15.3660 0.0070
GaiaDR2v2_BP 15.2662 0.0047
GROUND_JOHNSON_V 14.7450 0.0320
SkyMapper_r 14.2910 0.0110
SDSS_r 14.3880 0.0510
GaiaDR2v2_G 13.6485 0.0029
SDSS_i 14.0010 0.0410
GaiaDR2v2_RP 12.4254 0.0041
TESS 12.3656 0.0075
2MASS_J 10.6850 0.0190
2MASS_H 10.1250 0.0240
2MASS_Ks 9.7950 0.0220
SPITZER_IRAC_36 9.5830 0.0340
SPITZER_IRAC_45 9.5530 0.0360
