#Parameter	median	upper	lower	3sig_low	3sig_up
teff	6238.3542	565.9325	410.0960	5828.2581	6804.2867
logg	4.6949	1.1059	0.7722	3.9226	5.8008
[Fe/H]	-0.1307	0.3533	0.2394	-0.3701	0.2226
dist	28.3901	0.0449	0.0299	28.3601	28.4350
rad	0.1679	0.0125	0.0050	0.1629	0.1805
Av	4.1926	0.3972	0.2096	3.9830	4.5898
grav_mass	0.0356	0.0894	0.0335	0.0021	0.1250
lum	0.0398	0.0165	0.0104	0.0294	0.0562
AD	0.0550	0.0041	0.0016	0.0534	0.0592
age	2.0685	10.8339	1.2587	0.8098	12.9025
iso_mass	0.2494	0.0127	0.0380	0.2114	0.2620
eep	264.8836	6.8369	32.9024	231.9812	271.7205
B_noise	0.2934	0.2765	0.0968	0.1966	0.5700
SDSS_g_noise	0.2922	0.2340	0.1355	0.1567	0.5262
g_noise	0.0455	0.0733	0.0341	0.0114	0.1188
BP_noise	0.0153	0.0380	0.0170	-0.0017	0.0534
V_noise	0.0731	0.2457	0.0782	-0.0050	0.3188
r_noise	0.1956	0.1143	0.0586	0.1369	0.3098
SDSS_r_noise	0.3709	0.3410	0.1646	0.2062	0.7119
G_noise	0.0360	0.0323	0.0143	0.0218	0.0683
SDSS_i_noise	0.6756	0.4002	0.1732	0.5024	1.0758
RP_noise	0.0342	0.0431	0.0268	0.0074	0.0772
TESS_noise	0.0253	0.0443	0.0252	0.0001	0.0696
J_noise	0.0286	0.1491	0.0379	-0.0094	0.1777
H_noise	0.1866	0.1812	0.1515	0.0350	0.3678
Ks_noise	0.0400	0.1509	0.0460	-0.0060	0.1909
IRAC 36_noise	0.2036	0.3076	0.1934	0.0102	0.5112
IRAC 45_noise	0.1555	0.3912	0.1524	0.0031	0.5466
