#Parameter	median	upper	lower	3sig_low	3sig_up
teff	6313.6270	222.4247	222.4247	6091.2023	6536.0516
logg	4.7748	0.2599	0.3850	4.3898	5.0347
[Fe/H]	-0.0743	0.1414	0.1414	-0.2157	0.0671
dist	28.3942	0.0230	0.0145	28.3797	28.4172
rad	0.1710	0.0051	0.0044	0.1665	0.1761
Av	4.2898	0.1231	0.1471	4.1426	4.4129
grav_mass	0.0488	0.0522	0.0291	0.0197	0.1010
lum	0.0420	0.0065	0.0063	0.0357	0.0485
AD	0.0560	0.0017	0.0014	0.0545	0.0577
age	2.0685	10.8339	1.2587	0.0905	13.486876289577582
iso_mas	0.2494	0.0127	0.0380	0.1325	0.3046302058341089
eep	264.8836	6.8369	32.9024	145.6657	273.42972120525036
B_noise	0.3680	0.1110	0.0800	0.2879	0.4789
SDSS_g_noise	0.3317	0.1199	0.0843	0.2474	0.4515
g_noise	0.0618	0.0289	0.0221	0.0398	0.0908
BP_noise	0.0239	0.0192	0.0130	0.0110	0.0431
V_noise	0.1485	0.1095	0.0740	0.0744	0.2579
r_noise	0.2187	0.0521	0.0385	0.1802	0.2708
SDSS_r_noise	0.4434	0.1600	0.1004	0.3430	0.6034
G_noise	0.0436	0.0138	0.0108	0.0328	0.0575
SDSS_i_noise	0.7639	0.1790	0.1294	0.6344	0.9429
RP_noise	0.0418	0.0174	0.0155	0.0263	0.0592
TESS_noise	0.0333	0.0231	0.0162	0.0171	0.0564
J_noise	0.0817	0.0619	0.0387	0.0430	0.1436
H_noise	0.1941	0.0826	0.0616	0.1326	0.2767
Ks_noise	0.0839	0.0743	0.0487	0.0352	0.1583
IRAC 36_noise	0.2593	0.1392	0.1168	0.1425	0.3985
IRAC 45_noise	0.2639	0.1516	0.1149	0.1490	0.4155
