phase profile err
0.00390625 2.0 1.4142135623730951
0.01171875 3.0 1.7320508075688772
0.01953125 6.0 2.449489742783178
0.02734375 5.0 2.23606797749979
0.03515625 7.0 2.6457513110645907
0.04296875 3.0 1.7320508075688772
0.05078125 10.0 3.1622776601683795
0.05859375 5.0 2.23606797749979
0.06640625 0.0 0.0
0.07421875 5.0 2.23606797749979
0.08203125 7.0 2.6457513110645907
0.08984375 8.0 2.8284271247461903
0.09765625 5.0 2.23606797749979
0.10546875 1.0 1.0
0.11328125 8.0 2.8284271247461903
0.12109375 3.0 1.7320508075688772
0.12890625 8.0 2.8284271247461903
0.13671875 8.0 2.8284271247461903
0.14453125 4.0 2.0
0.15234375 2.0 1.4142135623730951
0.16015625 6.0 2.449489742783178
0.16796875 7.0 2.6457513110645907
0.17578125 5.0 2.23606797749979
0.18359375 6.0 2.449489742783178
0.19140625 9.0 3.0
0.19921875 6.0 2.449489742783178
0.20703125 9.0 3.0
0.21484375 10.0 3.1622776601683795
0.22265625 6.0 2.449489742783178
0.23046875 5.0 2.23606797749979
0.23828125 3.0 1.7320508075688772
0.24609375 7.0 2.6457513110645907
0.25390625 4.0 2.0
0.26171875 5.0 2.23606797749979
0.26953125 7.0 2.6457513110645907
0.27734375 4.0 2.0
0.28515625 3.0 1.7320508075688772
0.29296875 4.0 2.0
0.30078125 5.0 2.23606797749979
0.30859375 5.0 2.23606797749979
0.31640625 5.0 2.23606797749979
0.32421875 2.0 1.4142135623730951
0.33203125 8.0 2.8284271247461903
0.33984375 8.0 2.8284271247461903
0.34765625 3.0 1.7320508075688772
0.35546875 6.0 2.449489742783178
0.36328125 5.0 2.23606797749979
0.37109375 5.0 2.23606797749979
0.37890625 7.0 2.6457513110645907
0.38671875 2.0 1.4142135623730951
0.39453125 5.0 2.23606797749979
0.40234375 12.0 3.4641016151377544
0.41015625 10.0 3.1622776601683795
0.41796875 2.0 1.4142135623730951
0.42578125 6.0 2.449489742783178
0.43359375 5.0 2.23606797749979
0.44140625 3.0 1.7320508075688772
0.44921875 5.0 2.23606797749979
0.45703125 9.0 3.0
0.46484375 1.0 1.0
0.47265625 10.0 3.1622776601683795
0.48046875 10.0 3.1622776601683795
0.48828125 6.0 2.449489742783178
0.49609375 5.0 2.23606797749979
0.50390625 8.0 2.8284271247461903
0.51171875 4.0 2.0
0.51953125 7.0 2.6457513110645907
0.52734375 6.0 2.449489742783178
0.53515625 3.0 1.7320508075688772
0.54296875 7.0 2.6457513110645907
0.55078125 5.0 2.23606797749979
0.55859375 6.0 2.449489742783178
0.56640625 3.0 1.7320508075688772
0.57421875 6.0 2.449489742783178
0.58203125 6.0 2.449489742783178
0.58984375 5.0 2.23606797749979
0.59765625 7.0 2.6457513110645907
0.60546875 3.0 1.7320508075688772
0.61328125 9.0 3.0
0.62109375 3.0 1.7320508075688772
0.62890625 6.0 2.449489742783178
0.63671875 8.0 2.8284271247461903
0.64453125 6.0 2.449489742783178
0.65234375 9.0 3.0
0.66015625 7.0 2.6457513110645907
0.66796875 8.0 2.8284271247461903
0.67578125 13.0 3.605551275463989
0.68359375 6.0 2.449489742783178
0.69140625 7.0 2.6457513110645907
0.69921875 8.0 2.8284271247461903
0.70703125 8.0 2.8284271247461903
0.71484375 7.0 2.6457513110645907
0.72265625 6.0 2.449489742783178
0.73046875 10.0 3.1622776601683795
0.73828125 6.0 2.449489742783178
0.74609375 10.0 3.1622776601683795
0.75390625 8.0 2.8284271247461903
0.76171875 8.0 2.8284271247461903
0.76953125 8.0 2.8284271247461903
0.77734375 7.0 2.6457513110645907
0.78515625 15.0 3.872983346207417
0.79296875 12.0 3.4641016151377544
0.80078125 3.0 1.7320508075688772
0.80859375 6.0 2.449489742783178
0.81640625 5.0 2.23606797749979
0.82421875 14.0 3.7416573867739413
0.83203125 12.0 3.4641016151377544
0.83984375 10.0 3.1622776601683795
0.84765625 4.0 2.0
0.85546875 11.0 3.3166247903554
0.86328125 5.0 2.23606797749979
0.87109375 12.0 3.4641016151377544
0.87890625 6.0 2.449489742783178
0.88671875 6.0 2.449489742783178
0.89453125 7.0 2.6457513110645907
0.90234375 6.0 2.449489742783178
0.91015625 9.0 3.0
0.91796875 4.0 2.0
0.92578125 8.0 2.8284271247461903
0.93359375 10.0 3.1622776601683795
0.94140625 10.0 3.1622776601683795
0.94921875 11.0 3.3166247903554
0.95703125 9.0 3.0
0.96484375 14.0 3.7416573867739413
0.97265625 7.0 2.6457513110645907
0.98046875 6.0 2.449489742783178
0.98828125 4.0 2.0
0.99609375 3.0 1.7320508075688772
1.00390625 2.0 1.4142135623730951
1.01171875 3.0 1.7320508075688772
1.01953125 6.0 2.449489742783178
1.02734375 5.0 2.23606797749979
1.03515625 7.0 2.6457513110645907
1.04296875 3.0 1.7320508075688772
1.05078125 10.0 3.1622776601683795
1.05859375 5.0 2.23606797749979
1.06640625 0.0 0.0
1.07421875 5.0 2.23606797749979
1.08203125 7.0 2.6457513110645907
1.08984375 8.0 2.8284271247461903
1.09765625 5.0 2.23606797749979
1.10546875 1.0 1.0
1.11328125 8.0 2.8284271247461903
1.12109375 3.0 1.7320508075688772
1.12890625 8.0 2.8284271247461903
1.13671875 8.0 2.8284271247461903
1.14453125 4.0 2.0
1.15234375 2.0 1.4142135623730951
1.16015625 6.0 2.449489742783178
1.16796875 7.0 2.6457513110645907
1.17578125 5.0 2.23606797749979
1.18359375 6.0 2.449489742783178
1.19140625 9.0 3.0
1.19921875 6.0 2.449489742783178
1.20703125 9.0 3.0
1.21484375 10.0 3.1622776601683795
1.22265625 6.0 2.449489742783178
1.23046875 5.0 2.23606797749979
1.23828125 3.0 1.7320508075688772
1.24609375 7.0 2.6457513110645907
1.25390625 4.0 2.0
1.26171875 5.0 2.23606797749979
1.26953125 7.0 2.6457513110645907
1.27734375 4.0 2.0
1.28515625 3.0 1.7320508075688772
1.29296875 4.0 2.0
1.30078125 5.0 2.23606797749979
1.30859375 5.0 2.23606797749979
1.31640625 5.0 2.23606797749979
1.32421875 2.0 1.4142135623730951
1.33203125 8.0 2.8284271247461903
1.33984375 8.0 2.8284271247461903
1.34765625 3.0 1.7320508075688772
1.35546875 6.0 2.449489742783178
1.36328125 5.0 2.23606797749979
1.37109375 5.0 2.23606797749979
1.37890625 7.0 2.6457513110645907
1.38671875 2.0 1.4142135623730951
1.39453125 5.0 2.23606797749979
1.40234375 12.0 3.4641016151377544
1.41015625 10.0 3.1622776601683795
1.41796875 2.0 1.4142135623730951
1.42578125 6.0 2.449489742783178
1.43359375 5.0 2.23606797749979
1.44140625 3.0 1.7320508075688772
1.44921875 5.0 2.23606797749979
1.45703125 9.0 3.0
1.46484375 1.0 1.0
1.47265625 10.0 3.1622776601683795
1.48046875 10.0 3.1622776601683795
1.48828125 6.0 2.449489742783178
1.49609375 5.0 2.23606797749979
1.50390625 8.0 2.8284271247461903
1.51171875 4.0 2.0
1.51953125 7.0 2.6457513110645907
1.52734375 6.0 2.449489742783178
1.53515625 3.0 1.7320508075688772
1.54296875 7.0 2.6457513110645907
1.55078125 5.0 2.23606797749979
1.55859375 6.0 2.449489742783178
1.56640625 3.0 1.7320508075688772
1.57421875 6.0 2.449489742783178
1.58203125 6.0 2.449489742783178
1.58984375 5.0 2.23606797749979
1.59765625 7.0 2.6457513110645907
1.60546875 3.0 1.7320508075688772
1.61328125 9.0 3.0
1.62109375 3.0 1.7320508075688772
1.62890625 6.0 2.449489742783178
1.63671875 8.0 2.8284271247461903
1.64453125 6.0 2.449489742783178
1.65234375 9.0 3.0
1.66015625 7.0 2.6457513110645907
