#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4779.3016	759.2600	1208.6180	3570.6836	5538.5616
logg	3.6776	1.4186	0.2554	3.4223	5.0963
[Fe/H]	-0.0970	0.3486	0.3169	-0.4139	0.2516
dist	7754.3266	10755.1880	2969.7161	4784.6105	18509.5146
rad	1.7889	3.2532	0.7191	1.0697	5.0421
Av	3.0507	1.4148	2.6378	0.4129	4.4655
grav_mass	0.0358	6.9737	0.0000	0.0358	7.0095
lum	1.3484	7.1974	1.3086	0.0398	8.5458
AD	0.0015	0.0035	0.0009	0.0006	0.0050
age	1.0390	10.1499	1.0375	0.0015	11.1889
iso_mass	0.7595	0.1313	0.1364	0.6231	0.8908
eep	343.4653	17.3469	56.1224	287.3429	360.8122
BP_noise	0.6207	1.2475	0.5954	0.0253	1.8682
PS1_r_noise	0.1708	0.3160	0.1620	0.0088	0.4868
G_noise	0.0849	0.1026	0.0927	-0.0078	0.1875
PS1_i_noise	0.0794	0.0764	0.0587	0.0206	0.1557
RP_noise	0.1477	0.3928	0.1647	-0.0170	0.5405
TESS_noise	0.5646	0.5011	0.1923	0.3723	1.0658
PS1_z_noise	0.0315	0.2723	0.0412	-0.0096	0.3038
PS1_y_noise	0.3479	0.5437	0.3178	0.0301	0.8916
