#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4530.9561	691.7771	458.1901	4072.7661	5222.7333
logg	4.1548	0.5353	0.4357	3.7191	4.6901
[Fe/H]	-0.1243	0.2053	0.1261	-0.2504	0.0809
dist	10977.0268	3969.9086	3534.8502	7442.1767	14946.9355
rad	2.8343	1.3069	0.9994	1.8349	4.1412
Av	2.4209	1.0230	0.9453	1.4756	3.4439
grav_mass	2.8612	8.6397	2.1599	0.7012	11.5009
lum	3.0056	4.2320	1.9915	1.0140	7.2376
AD	0.0023	0.0015	0.0010	0.0013	0.0038
age	1.0390	10.1499	1.0375	0.0015	13.444416302207173
iso_mas	0.7595	0.1313	0.1364	0.3730	1.1257240873875256
eep	343.4653	17.3469	56.1224	124.0777	428.1591046310598
BP_noise	0.8417	0.8573	0.3786	0.4631	1.6990
PS1_r_noise	0.2291	0.1462	0.1150	0.1141	0.3752
G_noise	0.0937	0.0532	0.0592	0.0345	0.1470
PS1_i_noise	0.0878	0.0452	0.0360	0.0518	0.1330
RP_noise	0.2401	0.2008	0.1365	0.1036	0.4409
TESS_noise	0.6923	0.2413	0.1749	0.5174	0.9336
PS1_z_noise	0.1240	0.0983	0.0713	0.0527	0.2223
PS1_y_noise	0.4229	0.2886	0.2133	0.2096	0.7115
