# Filter Magnitude Uncertainty
GaiaDR2v2_BP 21.2058 0.1955
PS1_r 21.0472 0.0296
GaiaDR2v2_G 20.6836 0.0116
PS1_i 20.0446 0.0106
GaiaDR2v2_RP 19.6402 0.0818
TESS 20.2717 0.0463
PS1_z 19.4632 0.0242
PS1_y 18.9865 0.0611
