#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3881.6649	2515.7603	273.1397	3608.5252	6397.4251
logg	4.8026	0.6107	1.3570	3.4456	5.4132
[Fe/H]	-0.0454	0.3984	0.4249	-0.4703	0.3529
dist	1072.4954	322.0501	75.1450	997.3504	1394.5455
rad	1.0843	1.0162	0.1255	0.9587	2.1004
Av	0.1284	2.5982	0.2809	-0.1525	2.7266
grav_mass	0.8282	3.7770	0.7554	0.0728	4.6052
lum	0.3711	2.1780	0.2823	0.0888	2.5491
AD	0.0092	0.0078	0.0022	0.0071	0.0170
age	3.1582	8.1645	3.0222	0.1360	11.3227
iso_mass	0.8420	0.1264	0.1470	0.6950	0.9684
eep	345.6992	31.9063	49.0867	296.6125	377.6055
g_noise	0.0911	0.2161	0.0853	0.0058	0.3072
BP_noise	0.0570	0.1849	0.0498	0.0072	0.2419
r_noise	0.0804	0.0472	0.0704	0.0100	0.1276
G_noise	0.0286	0.0293	0.0289	-0.0002	0.0579
RP_noise	0.0200	0.0598	0.0217	-0.0017	0.0798
TESS_noise	0.0269	0.2428	0.0445	-0.0176	0.2697
IRAC 36_noise	0.3422	0.4213	0.3611	-0.0189	0.7635
IRAC 45_noise	0.1643	0.6816	0.1869	-0.0226	0.8459
