#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4886.9116	891.8861	811.8451	4075.0665	5778.7977
logg	4.0748	1.0353	0.2929	3.7819	5.1101
[Fe/H]	-0.1630	0.2827	0.1546	-0.3176	0.1197
dist	2362.4458	1291.9876	331.8867	2030.5591	3654.4334
rad	3.6402	1.9056	0.8348	2.8054	5.5458
Av	3.8828	1.0720	0.9611	2.9217	4.9547
grav_mass	6.4458	27.7845	5.5569	0.8889	34.2304
lum	5.5490	10.8972	3.1135	2.4355	16.4462
AD	0.0130	0.0074	0.0051	0.0078	0.0203
age	0.9012	10.8135	0.8561	0.0001	13.426850748195491
iso_mas	0.8506	0.2498	0.2665	0.1733	1.8331598302640855
eep	342.0574	84.5356	67.3154	33.6589	501.735768570346
PS1_g_noise	0.3208	0.4350	0.1502	0.1706	0.7558
BP_noise	0.1908	0.1329	0.0854	0.1054	0.3237
PS1_r_noise	2.5175	2.4250	1.8451	0.6725	4.9425
G_noise	0.0679	0.0222	0.0267	0.0411	0.0901
PS1_i_noise	0.0647	0.0422	0.0185	0.0462	0.1069
RP_noise	0.0641	0.0436	0.0308	0.0333	0.1077
TESS_noise	1.9845	4.2264	1.2822	0.7023	6.2109
PS1_z_noise	2.4400	2.6130	1.7701	0.6699	5.0530
PS1_y_noise	0.1247	0.0736	0.0491	0.0756	0.1983
J_noise	0.2723	0.1341	0.1043	0.1680	0.4063
IRAC 36_noise	0.4304	0.3024	0.1848	0.2456	0.7328
IRAC 45_noise	0.9534	0.5575	0.3431	0.6103	1.5109
