# Filter Magnitude Uncertainty
PS1_g 22.1280 0.0000
GaiaDR2v2_BP 21.2119 0.1208
PS1_r 19.8877 0.0588
GaiaDR2v2_G 18.4100 0.0042
PS1_i 18.0279 0.0131
GaiaDR2v2_RP 16.9119 0.0102
TESS 16.5828 0.2985
PS1_z 16.6620 0.0145
PS1_y 15.7781 0.0266
2MASS_J 13.4530 0.0200
2MASS_H 12.0740 0.0220
2MASS_Ks 11.5440 0.0200
SPITZER_IRAC_36 11.1000 0.0460
SPITZER_IRAC_45 11.0460 0.0660
