# Filter Magnitude Uncertainty
PS1_g 19.9310 0.0149
GaiaDR2v2_BP 18.6940 0.0193
PS1_r 17.3024 0.0214
GaiaDR2v2_G 16.3847 0.0033
PS1_i 15.7951 0.0029
GaiaDR2v2_RP 14.9963 0.0060
TESS 14.5450 0.3781
PS1_z 14.8080 0.0062
PS1_y 14.1643 0.0066
SPITZER_IRAC_36 10.2890 0.0410
SPITZER_IRAC_45 10.3600 0.0460
