# Filter Magnitude Uncertainty
PS1_g 13.6004 0.0018
GaiaDR2v2_BP 13.4054 0.0064
PS1_r 12.6540 0.0000
GaiaDR2v2_G 12.6533 0.0032
PS1_i 12.1700 0.0000
GaiaDR2v2_RP 11.8047 0.0059
TESS 11.8278 0.0403
PS1_z 11.8970 0.0000
PS1_y 11.7150 0.0000
2MASS_J 10.5320 0.0240
