# Filter Magnitude Uncertainty
GaiaDR2v2_BP 19.1550 0.0293
GaiaDR2v2_G 17.1804 0.0039
GaiaDR2v2_RP 15.7288 0.0067
TESS 15.9474 0.0119
2MASS_J 12.8500 0.0280
2MASS_H 11.6160 0.0390
SPITZER_IRAC_36 10.6130 0.0480
SPITZER_IRAC_45 10.4380 0.0520
