#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4680.5559	440.4415	867.1192	3813.4367	5120.9974
logg	4.1748	1.4801	0.7351	3.4397	5.6549
[Fe/H]	-0.0992	0.1862	0.4159	-0.5151	0.0871
dist	2861.5624	819.1733	1253.5834	1607.9791	3680.7357
rad	5.9547	2.4665	2.5737	3.3811	8.4212
Av	3.8068	1.2370	0.8018	3.0050	5.0438
grav_mass	26.9345	78.5262	26.1754	0.7591	105.4607
lum	9.9726	17.5965	7.3319	2.6407	27.5690
AD	0.0182	0.0160	0.0077	0.0105	0.0342
age	8.3007	4.7819	8.1202	0.1805	13.0826
iso_mass	0.9633	0.2220	0.1480	0.8152	1.1853
eep	467.7529	35.3298	157.9448	309.8081	503.0827
BP_noise	0.2659	0.1987	0.2706	-0.0048	0.4646
G_noise	0.0121	0.0818	0.0129	-0.0008	0.0939
RP_noise	0.0129	0.1271	0.0182	-0.0053	0.1400
TESS_noise	0.1887	0.1197	0.0968	0.0919	0.3084
J_noise	0.3366	0.2552	0.1555	0.1811	0.5918
H_noise	0.4738	0.3677	0.2163	0.2575	0.8415
IRAC 36_noise	0.5094	0.4247	0.2179	0.2914	0.9340
IRAC 45_noise	0.4645	0.5185	0.1705	0.2941	0.9830
