#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4566.7275	402.7033	282.7492	4283.9783	4969.4308
logg	4.3246	0.7978	0.4701	3.8545	5.1224
[Fe/H]	-0.1881	0.1525	0.1802	-0.3683	-0.0356
dist	2655.3516	510.8360	527.0530	2128.2986	3166.1876
rad	5.9796	1.6385	1.3710	4.6086	7.6181
Av	3.9234	0.6663	0.4442	3.4793	4.5897
grav_mass	20.6354	75.5322	17.7723	2.8631	96.1676
lum	13.5114	11.5274	5.9383	7.5730	25.0387
AD	0.0204	0.0080	0.0053	0.0151	0.0284
age	8.3007	4.7819	8.1202	0.0001	13.443466456147798
iso_mas	0.9633	0.2220	0.1480	0.3241	2.335739498845009
eep	467.7529	35.3298	157.9448	50.0306	671.4185451338285
BP_noise	0.2378	0.1242	0.1197	0.1181	0.3619
G_noise	0.0464	0.0266	0.0300	0.0164	0.0730
RP_noise	0.0511	0.0507	0.0227	0.0284	0.1019
TESS_noise	0.2009	0.0675	0.0542	0.1467	0.2684
J_noise	0.3658	0.1385	0.1045	0.2613	0.5043
H_noise	0.5175	0.2047	0.1375	0.3800	0.7222
IRAC 36_noise	0.5834	0.2252	0.1513	0.4320	0.8085
IRAC 45_noise	0.6171	0.1771	0.1469	0.4701	0.7942
