# Filter Magnitude Uncertainty
STROMGREN_u 0.0000 0.0000
GROUND_JOHNSON_U 8.8730 0.0316
STROMGREN_v 0.0000 0.0000
TYCHO_B_MvB 9.4060 0.0220
GROUND_JOHNSON_B 9.2980 0.0200
STROMGREN_b 0.0000 0.0000
GaiaDR2v2_BP 8.8265 0.0030
TYCHO_V_MvB 8.8140 0.0170
STROMGREN_y 8.7370 0.0000
GROUND_JOHNSON_V 8.7460 0.0180
GaiaDR2v2_G 8.3966 0.0028
GaiaDR2v2_RP 7.7389 0.0039
TESS 7.8169 0.0063
2MASS_J 6.9050 0.0230
2MASS_H 6.5840 0.0360
2MASS_Ks 6.1780 0.0180
