#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5778.7436	580.2431	890.2359	4888.5077	6358.9867
logg	4.1093	0.9793	0.6012	3.5081	5.0886
[Fe/H]	-0.2357	0.2524	0.3652	-0.6009	0.0168
dist	2373.8878	841.8222	446.1658	1927.7220	3215.7101
rad	55.5483	20.9388	11.6817	43.8666	76.4871
Av	0.5658	0.3643	0.5517	0.0141	0.9301
grav_mass	2206.9297	3087.7768	2058.5179	148.4118	5294.7065
lum	2649.9230	2984.1666	1436.8210	1213.1020	5634.0896
AD	0.2057	0.0946	0.0657	0.1400	0.3002
age	0.0934	0.0373	0.0292	0.0643	0.1308
iso_mass	5.3158	0.8219	0.9200	4.3957	6.1377
eep	662.6036	14.6030	17.5236	645.0800	677.2065
u_noise	1.2628	1.0941	0.7294	0.5333	2.3569
U_noise	0.3429	0.3228	0.1409	0.2019	0.6657
v_noise	1.0756	1.0833	0.6272	0.4484	2.1589
BT_noise	0.1420	0.1821	0.0911	0.0510	0.3241
B_noise	0.1599	0.1489	0.1117	0.0483	0.3088
b_noise	0.8925	1.4761	0.4651	0.4274	2.3686
BP_noise	0.0310	0.0274	0.0307	0.0003	0.0583
VT_noise	0.1032	0.1478	0.0806	0.0226	0.2510
y_noise	0.1580	0.7609	0.2367	-0.0787	0.9188
V_noise	0.1142	0.1490	0.0745	0.0397	0.2632
G_noise	0.0231	0.0259	0.0188	0.0043	0.0490
RP_noise	0.0261	0.0406	0.0233	0.0028	0.0667
TESS_noise	0.0346	0.0577	0.0333	0.0013	0.0922
J_noise	0.1436	0.1553	0.1026	0.0410	0.2989
H_noise	0.1058	0.2186	0.1117	-0.0059	0.3244
Ks_noise	0.1865	0.1766	0.0801	0.1064	0.3631
