#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5736.9303	287.6309	404.8138	5332.1165	6024.5611
logg	4.1929	0.6937	0.3553	3.8375	4.8866
[Fe/H]	-0.2648	0.1508	0.1960	-0.4608	-0.1140
dist	2542.6671	381.2699	318.6733	2223.9938	2923.9370
rad	58.6769	9.0429	7.3473	51.3296	67.7198
Av	0.5127	0.2319	0.2287	0.2840	0.7446
grav_mass	1493.2183	4741.1350	969.7776	523.4407	6234.3533
lum	3117.8107	1434.2318	948.0515	2169.7592	4552.0424
AD	0.2114	0.0467	0.0360	0.1754	0.2581
age	0.0934	0.0373	0.0292	0.0500	0.25289258815949617
iso_mas	5.3158	0.8219	0.9200	3.4511	7.1068052175128305
eep	662.6036	14.6030	17.5236	631.3757	698.3246689668595
u_noise	1.3824	0.6462	0.4381	0.9443	2.0285
U_noise	0.4137	0.1599	0.1199	0.2939	0.5736
v_noise	1.1897	0.6933	0.3782	0.8115	1.8830
BT_noise	0.1791	0.0850	0.0641	0.1150	0.2641
B_noise	0.1727	0.0811	0.0585	0.1141	0.2537
b_noise	1.2608	0.7035	0.4410	0.8198	1.9643
BP_noise	0.0282	0.0170	0.0127	0.0155	0.0452
VT_noise	0.1203	0.0860	0.0458	0.0745	0.2063
y_noise	0.3278	0.5271	0.2063	0.1216	0.8550
V_noise	0.1347	0.0856	0.0519	0.0828	0.2203
G_noise	0.0253	0.0134	0.0101	0.0152	0.0387
RP_noise	0.0323	0.0197	0.0139	0.0183	0.0520
TESS_noise	0.0424	0.0319	0.0190	0.0235	0.0743
J_noise	0.1629	0.0875	0.0618	0.1011	0.2504
H_noise	0.1580	0.1071	0.0803	0.0776	0.2651
Ks_noise	0.2287	0.0768	0.0606	0.1681	0.3055
