#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5385.4758	688.3877	838.0372	4547.4386	6073.8635
logg	4.4874	0.4630	0.4567	4.0307	4.9505
[Fe/H]	-0.1039	0.1753	0.1850	-0.2889	0.0714
dist	10978.4040	3235.7768	3030.3307	7948.0734	14214.1808
rad	2.8564	1.6742	0.9530	1.9034	4.5307
Av	3.0698	0.9014	0.9348	2.1350	3.9713
grav_mass	5.8878	18.7678	4.0217	1.8661	24.6556
lum	4.7542	9.2995	2.9998	1.7544	14.0537
AD	0.0024	0.0017	0.0009	0.0014	0.0041
age	1.3994	10.8250	1.1276	0.0012	13.442231105122735
iso_mas	0.7552	0.2426	0.1365	0.5075	1.2631851555795865
eep	342.7815	32.9595	54.2237	119.5076	436.3439088994989
BP_noise	0.7140	0.6066	0.3507	0.3632	1.3206
G_noise	0.0622	0.0407	0.0305	0.0317	0.1029
PS1_i_noise	0.3303	0.1589	0.1324	0.1978	0.4892
RP_noise	0.2726	0.2289	0.1178	0.1548	0.5015
TESS_noise	0.2401	0.1805	0.1523	0.0878	0.4206
PS1_z_noise	0.3110	0.1390	0.1172	0.1938	0.4500
PS1_y_noise	0.8704	0.4265	0.3859	0.4845	1.2969
