# Filter Magnitude Uncertainty
GaiaDR2v2_BP 21.1127 0.1381
GaiaDR2v2_G 20.4643 0.0074
PS1_i 19.8421 0.0397
GaiaDR2v2_RP 18.9873 0.0541
TESS 19.4604 0.0343
PS1_z 18.7474 0.0342
PS1_y 18.0395 0.0926
