#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4762.0028	1928.0218	1013.9966	3748.0062	6690.0246
logg	4.7401	0.7192	1.2709	3.4692	5.4593
[Fe/H]	0.0633	0.2748	0.6557	-0.5924	0.3380
dist	8628.9704	9095.2429	3551.4758	5077.4946	17724.2133
rad	1.6485	4.2938	0.7345	0.9140	5.9423
Av	2.7777	2.2898	1.4933	1.2843	5.0675
grav_mass	8.7446	42.9197	7.2186	1.5260	51.6643
lum	2.0660	12.2691	2.0448	0.0211	14.3350
AD	0.0016	0.0035	0.0011	0.0005	0.0051
age	1.3994	10.8250	1.1276	0.2718	12.2244
iso_mass	0.7552	0.2426	0.1365	0.6187	0.9978
eep	342.7815	32.9595	54.2237	288.5579	375.7410
BP_noise	0.4114	1.1712	0.3423	0.0691	1.5826
G_noise	0.0181	0.1268	0.0220	-0.0039	0.1449
PS1_i_noise	0.1799	0.5031	0.1694	0.0104	0.6829
RP_noise	0.2847	0.3097	0.2907	-0.0061	0.5944
TESS_noise	0.0480	0.5566	0.0825	-0.0345	0.6045
PS1_z_noise	0.2884	0.2688	0.2736	0.0148	0.5572
PS1_y_noise	0.6177	1.0453	0.4207	0.1970	1.6631
